Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.600,1.389,0.900,1.142,1.277,1.515,1.971,2.057,2.870,2.870,0.720
5,17.400,1.399,0.867,1.208,1.305,1.462,1.692,2.002,4.378,4.378,0.715
10,19.400,1.364,0.891,1.139,1.264,1.402,1.748,2.192,5.039,5.039,0.733
15,21.800,1.260,0.807,1.125,1.254,1.360,1.490,1.567,1.774,1.969,0.794
20,25.000,1.242,0.797,1.057,1.187,1.331,1.549,1.728,3.098,3.893,0.805
25,17.200,1.392,0.897,1.155,1.284,1.418,1.647,2.039,7.122,7.122,0.719
30,23.600,1.257,0.747,1.039,1.158,1.298,1.428,1.525,2.380,10.242,0.795
35,19.800,1.248,0.747,1.102,1.210,1.362,1.510,1.603,2.441,2.441,0.801
40,21.400,1.258,0.884,1.111,1.204,1.348,1.530,1.645,2.057,2.153,0.795
45,20.800,1.266,0.853,1.126,1.253,1.382,1.517,1.702,1.987,2.006,0.790
50,21.200,1.323,0.826,1.086,1.230,1.364,1.795,2.075,2.972,3.091,0.756
55,22.800,1.249,0.806,1.117,1.245,1.363,1.456,1.617,1.676,2.104,0.801
