Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.000,1.503,0.944,1.222,1.405,1.650,1.944,2.166,4.098,4.098,0.665
5,17.800,1.259,0.823,1.103,1.231,1.374,1.526,1.656,2.229,2.229,0.794
10,18.200,1.299,0.873,1.137,1.218,1.402,1.602,2.019,2.197,2.197,0.770
15,19.000,1.276,0.721,1.102,1.228,1.410,1.627,1.842,2.263,2.263,0.784
20,16.600,1.324,0.916,1.125,1.257,1.452,1.704,1.878,2.165,2.165,0.756
25,19.200,1.292,0.765,1.102,1.207,1.404,1.777,2.012,2.277,2.277,0.774
30,20.800,1.315,0.864,1.145,1.273,1.455,1.672,1.806,2.174,2.184,0.760
35,24.200,1.209,0.720,1.035,1.194,1.307,1.504,1.691,1.821,1.967,0.827
40,16.400,1.265,0.779,1.127,1.264,1.369,1.493,1.549,2.358,2.358,0.791
45,15.200,1.434,0.745,1.135,1.281,1.519,1.950,2.140,6.995,6.995,0.698
50,22.600,1.163,0.681,1.028,1.122,1.237,1.429,1.593,2.049,2.054,0.860
55,21.800,1.253,0.849,1.064,1.217,1.379,1.536,1.738,2.289,2.429,0.798
