Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.800,1.558,0.972,1.180,1.385,1.754,2.305,2.932,4.873,4.873,0.642
5,14.400,1.552,0.864,1.177,1.370,1.752,1.997,2.371,7.889,7.889,0.644
10,13.600,1.518,0.862,1.313,1.487,1.683,1.926,2.074,2.496,2.496,0.659
15,16.000,1.352,0.891,1.126,1.276,1.476,1.802,2.200,2.447,2.447,0.740
20,21.000,1.261,0.828,1.067,1.202,1.313,1.694,1.979,2.085,2.345,0.793
25,19.000,1.285,0.846,1.076,1.240,1.388,1.702,1.901,2.836,2.836,0.778
30,17.000,1.325,0.860,1.137,1.303,1.389,1.698,1.846,2.065,2.065,0.755
35,19.000,1.372,0.790,1.140,1.287,1.510,1.826,2.186,2.509,2.509,0.729
40,17.400,1.396,0.885,1.137,1.304,1.635,1.886,1.999,2.356,2.356,0.716
45,20.600,1.388,0.967,1.164,1.284,1.481,1.857,2.090,2.359,2.417,0.720
50,18.400,1.245,0.710,1.073,1.217,1.367,1.595,1.752,2.374,2.374,0.803
55,22.600,1.289,0.890,1.110,1.223,1.368,1.579,1.798,2.350,2.726,0.776
