Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.000,1.295,0.334,0.524,0.804,1.404,2.093,3.448,13.839,13.839,0.772
5,20.400,0.587,0.293,0.376,0.424,0.468,0.757,0.881,2.119,9.391,1.703
10,18.800,0.588,0.288,0.372,0.459,0.627,0.821,0.949,3.472,3.472,1.701
15,17.200,0.464,0.266,0.328,0.358,0.424,0.729,0.811,4.216,4.216,2.154
20,19.200,0.397,0.265,0.328,0.351,0.404,0.595,0.726,1.037,1.037,2.520
25,20.400,0.532,0.289,0.324,0.346,0.376,0.540,0.801,0.915,15.154,1.878
30,22.600,0.416,0.239,0.323,0.349,0.411,0.600,0.727,1.900,2.066,2.402
35,16.800,0.495,0.269,0.321,0.365,0.639,0.786,0.887,2.568,2.568,2.020
40,19.400,0.510,0.264,0.322,0.366,0.422,0.649,0.745,9.676,9.676,1.960
45,19.000,0.450,0.262,0.319,0.339,0.426,0.670,0.737,4.695,4.695,2.223
50,18.800,0.520,0.290,0.320,0.345,0.384,0.563,0.611,11.722,11.722,1.923
55,17.600,0.396,0.254,0.314,0.333,0.385,0.680,0.758,0.888,0.888,2.524
