Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,187.200,1.107,0.624,0.765,0.892,1.235,1.591,1.888,4.002,15.938,0.903
5,197.800,0.921,0.606,0.711,0.771,0.953,1.397,1.531,1.905,8.293,1.085
10,215.400,0.879,0.601,0.681,0.733,0.884,1.308,1.440,1.782,8.721,1.138
15,216.400,0.919,0.579,0.693,0.758,1.199,1.382,1.501,1.773,3.345,1.088
20,224.000,0.786,0.575,0.655,0.697,0.766,1.214,1.332,1.646,3.506,1.272
25,217.000,0.803,0.580,0.675,0.718,0.799,1.200,1.393,1.648,4.198,1.246
30,188.400,0.941,0.574,0.688,0.767,1.213,1.429,1.551,1.753,9.016,1.063
35,211.000,0.874,0.584,0.690,0.746,0.870,1.339,1.487,1.733,13.493,1.145
40,242.200,0.755,0.574,0.659,0.697,0.763,0.907,1.228,1.557,1.948,1.325
45,188.600,0.949,0.585,0.677,0.759,1.255,1.475,1.584,1.793,2.339,1.054
50,208.200,0.907,0.589,0.671,0.727,0.902,1.526,1.665,2.071,11.905,1.103
55,233.400,0.830,0.581,0.663,0.706,0.799,1.295,1.432,1.781,5.618,1.205
