Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,251,251.000,676,1632,2871,3956,4490,7668,12918,22750,29869
1,522,522.000,380,898,1247,1898,2627,3454,3841,7295,11705
2,388,388.000,411,863,1743,2570,3194,5621,6676,13590,17162
3,355,355.000,331,1187,1852,2805,3695,6128,7486,13391,16289
4,403,403.000,384,1122,1761,2474,3190,5460,6254,9767,14884
5,430,430.000,324,775,1594,2321,3041,5379,5811,11293,12573
6,403,403.000,335,801,1747,2468,3109,5663,6503,12946,15242
7,410,410.000,341,1030,1632,2436,3218,5345,6066,11287,13823
8,398,398.000,340,817,1579,2497,3218,5915,6687,12262,14898
9,438,438.000,287,781,1600,2273,3014,4504,5883,9781,19790
10,517,517.000,282,704,1333,1928,2630,3640,5578,8981,13381
11,378,378.000,294,1170,1718,2644,4003,5785,6155,11394,12836
12,507,507.000,326,714,1555,1962,2543,3583,5857,7326,16151
13,458,458.000,326,711,1553,2175,2828,5302,5954,10924,13519
14,255,255.000,608,1587,3203,3904,5555,7321,8607,13826,15154
15,428,428.000,295,821,1589,2326,3217,5086,5839,10824,12777
16,411,411.000,324,913,1607,2426,3112,5612,6292,11358,12288
17,421,421.000,289,905,1730,2370,2981,5099,6011,11575,11834
18,282,282.000,291,1377,2092,3530,4988,7426,11294,13905,15983
19,343,343.000,321,1239,1666,2925,4127,5748,7314,12325,14021
20,537,537.000,293,676,1301,1846,2422,3987,5598,7799,13641
21,374,374.000,331,1243,1551,2670,3881,5606,6190,11917,13742
22,408,408.000,305,757,1678,2450,3093,5431,6606,11494,15023
23,414,414.000,319,789,1736,2404,3104,5578,6094,8608,11886
24,464,464.000,285,760,1596,2146,2863,5019,5805,11155,14147
25,407,407.000,304,990,1597,2472,3255,5483,6206,11973,13909
26,412,412.000,284,780,1726,2416,3119,5541,6625,11397,13183
27,410,410.000,280,736,1491,2419,3167,5352,6270,11868,13343
28,607,607.000,287,669,1514,1642,2252,2959,3235,5704,14492
29,485,485.000,276,721,1491,2058,2681,4321,5640,9618,12595
30,444,444.000,297,764,1510,2243,2926,4956,5903,11613,22102
31,354,354.000,282,1236,1600,2816,4223,5788,6890,13018,14568
32,317,317.000,280,1275,1739,3152,4486,6433,10767,12562,13539
33,544,544.000,265,707,1401,1830,2473,3323,5553,6662,11560
34,429,429.000,296,798,1713,2320,2847,5441,6293,11519,15771
35,323,323.000,438,1319,2218,3099,4585,5922,6899,11385,13029
36,449,449.000,302,759,1717,2214,2878,4915,5927,7731,13179
37,321,321.000,528,1240,1723,3120,4461,6071,7618,12713,17727
38,507,507.000,286,744,1447,1967,2631,4208,5663,6140,11809
39,423,423.000,255,802,1664,2351,3057,5273,5811,11488,12093
40,476,476.000,319,717,1436,2090,2873,4818,5639,6456,12001
41,432,432.000,268,754,1687,2317,3162,5334,6056,7651,14314
42,494,494.000,296,708,1558,2011,2682,4408,5743,7917,13467
43,488,488.000,298,679,1679,2052,2668,4466,5542,7889,14486
44,394,394.000,334,891,1824,2523,3408,5538,6214,11152,12928
45,437,437.000,257,801,1688,2278,3011,4729,5556,11475,13159
46,404,404.000,300,856,1887,2469,3224,5490,6138,11714,13711
47,356,356.000,289,1277,1801,2806,4159,5834,6401,11364,12764
48,503,503.000,292,710,1530,1984,2660,3739,5642,7134,14866
49,520,520.000,291,723,1601,1914,2650,3334,5552,7299,12406
50,533,533.000,260,720,1505,1872,2589,3201,5451,6371,12201
51,596,596.000,298,709,986,1671,2413,3059,3536,6493,6751
52,568,568.000,265,736,1549,1754,2586,3128,3541,6248,6527
53,444,444.000,299,744,1700,2244,2961,5131,6279,8671,23877
54,524,524.000,285,747,1522,1904,2572,3446,5455,7967,12370
55,516,516.000,288,712,1519,1930,2537,3810,5561,8006,13490
56,493,493.000,301,761,1363,2020,2766,3790,5644,11180,12341
57,452,452.000,317,797,1619,2203,2760,4927,6485,9146,15286
58,425,425.000,282,787,1741,2355,2952,5471,6765,9074,13397
59,516,516.000,288,724,1506,1913,2596,3333,5582,6734,13438
