Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,386.200,2.579,0.380,1.105,1.790,3.322,5.222,6.376,11.755,25.840,0.388
5,422.600,2.355,0.302,0.826,1.667,2.889,5.623,6.397,11.869,18.068,0.425
10,450.600,2.211,0.318,0.768,1.604,2.832,4.907,5.936,9.786,18.788,0.452
15,447.200,2.227,0.304,0.780,1.644,2.937,4.945,5.811,8.780,15.005,0.449
20,469.400,2.124,0.256,0.727,1.531,2.730,4.849,5.840,10.895,16.126,0.471
25,350.000,2.852,0.257,1.288,1.771,4.089,6.153,7.084,12.970,15.858,0.351
30,436.200,2.287,0.261,0.742,1.628,2.783,5.372,6.120,11.803,14.023,0.437
35,456.200,2.187,0.250,0.726,1.564,2.805,4.955,5.782,11.456,20.705,0.457
40,356.400,2.800,0.267,1.187,1.766,4.151,6.075,7.096,13.110,16.214,0.357
45,414.400,2.406,0.258,0.764,1.634,3.096,5.484,6.045,11.636,15.409,0.416
50,306.000,3.261,0.287,1.308,2.000,4.743,6.667,8.130,13.195,17.447,0.307
55,418.800,2.381,0.254,0.791,1.584,3.058,5.394,6.163,11.602,19.945,0.420
