Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,148.800,4.170,1.480,2.811,3.823,5.183,6.756,7.415,9.438,16.623,0.240
5,150.600,4.239,1.557,3.263,4.149,5.166,5.931,6.216,7.276,13.385,0.236
10,177.400,3.521,1.272,2.318,3.013,4.496,5.874,6.737,7.775,10.315,0.284
15,147.800,4.211,1.421,2.783,4.034,5.508,6.393,7.079,8.684,18.755,0.237
20,167.600,3.793,1.258,2.481,3.403,4.921,6.265,6.746,7.622,7.913,0.264
25,152.000,4.311,1.149,3.065,4.306,5.488,6.387,6.959,7.572,14.698,0.232
30,159.800,4.038,1.263,2.674,3.805,5.192,6.188,6.716,8.425,27.335,0.248
35,165.400,3.863,1.246,2.453,3.345,5.159,6.540,7.076,8.088,9.051,0.259
40,170.000,3.892,1.425,2.499,3.667,5.183,6.115,6.613,7.564,17.985,0.257
45,163.000,3.941,1.055,2.610,3.642,5.227,6.280,6.858,7.948,9.805,0.254
50,186.800,3.470,1.032,2.210,2.966,4.322,5.895,7.023,8.640,10.694,0.288
55,150.800,4.405,1.328,3.207,4.397,5.537,6.345,6.867,7.811,8.730,0.227
