Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,204.000,3.042,1.074,2.241,2.779,3.397,4.273,5.174,8.695,13.919,0.329
5,215.400,2.916,1.453,2.070,2.622,3.141,4.703,5.818,7.406,15.636,0.343
10,224.400,2.783,1.083,2.027,2.557,3.119,4.205,5.509,6.511,8.786,0.359
15,239.400,2.688,1.072,1.972,2.487,2.967,3.592,4.795,7.445,21.193,0.372
20,242.200,2.746,1.425,2.010,2.514,3.047,4.061,5.421,6.644,7.566,0.364
25,238.200,2.681,1.223,1.979,2.493,2.985,3.578,4.792,7.186,10.252,0.373
30,231.200,2.790,1.032,1.989,2.546,3.064,4.180,5.403,6.994,25.523,0.358
35,263.800,2.428,1.201,1.949,2.406,2.841,3.111,3.262,4.258,9.545,0.412
40,253.600,2.571,0.968,1.970,2.424,2.886,3.294,4.488,6.774,8.624,0.389
45,212.800,3.032,1.090,2.090,2.734,3.333,4.839,5.857,7.024,20.735,0.330
50,208.000,3.165,1.135,2.216,2.799,3.490,4.975,6.096,8.776,13.522,0.316
55,244.200,2.622,1.068,1.977,2.466,2.938,3.344,4.539,6.753,10.634,0.381
