Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,342.600,2.906,0.350,1.098,1.976,3.666,6.053,7.601,14.210,22.367,0.344
5,515.800,1.929,0.292,0.746,1.557,2.613,3.384,5.637,6.489,19.969,0.518
10,473.200,2.102,0.299,0.757,1.563,2.715,4.762,5.812,9.296,13.256,0.476
15,521.400,1.912,0.302,0.733,1.493,2.632,3.489,5.595,6.308,15.825,0.523
20,508.200,1.962,0.260,0.727,1.538,2.637,3.499,5.546,7.801,19.770,0.510
25,540.800,1.844,0.298,0.737,1.506,2.572,3.229,5.474,6.167,13.410,0.542
30,542.000,1.841,0.260,0.715,1.590,2.503,3.159,5.558,6.616,17.316,0.543
35,519.000,1.920,0.276,0.720,1.539,2.605,3.494,5.530,6.984,17.793,0.521
40,525.800,1.896,0.240,0.726,1.518,2.613,3.390,5.511,6.872,13.675,0.527
45,473.600,2.105,0.268,0.735,1.594,2.785,4.506,5.657,9.096,14.585,0.475
50,408.400,2.442,0.279,0.778,1.784,2.904,5.638,7.182,11.843,16.056,0.409
55,506.000,1.970,0.259,0.704,1.523,2.622,3.860,5.527,9.311,17.480,0.508
