Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.800,1.404,0.803,1.137,1.228,1.435,1.794,2.155,8.168,8.168,0.712
5,17.800,1.309,0.891,1.074,1.245,1.401,1.803,1.976,2.614,2.614,0.764
10,15.200,1.332,0.933,1.141,1.270,1.454,1.680,1.726,2.499,2.499,0.751
15,18.600,1.328,0.913,1.146,1.328,1.462,1.601,1.751,2.074,2.074,0.753
20,22.200,1.228,0.891,1.065,1.209,1.344,1.479,1.586,1.723,2.210,0.815
25,18.000,1.308,0.745,1.130,1.273,1.440,1.660,1.805,2.310,2.310,0.765
30,21.000,1.241,0.927,1.145,1.245,1.320,1.428,1.601,1.760,2.055,0.806
35,22.200,1.237,0.822,1.077,1.238,1.360,1.450,1.564,1.817,2.110,0.809
40,18.200,1.259,0.909,1.138,1.244,1.333,1.495,1.727,1.960,1.960,0.794
45,23.200,1.227,0.822,1.092,1.202,1.325,1.493,1.643,1.764,2.144,0.815
50,18.000,1.255,0.817,1.054,1.186,1.358,1.712,2.055,2.261,2.261,0.797
55,26.200,1.177,0.819,1.046,1.183,1.261,1.404,1.452,1.607,1.639,0.849
