Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,416.000,2.394,0.362,0.957,1.849,2.992,4.771,6.294,10.001,25.309,0.418
5,523.600,1.899,0.322,0.758,1.614,2.603,3.267,5.234,6.727,14.921,0.527
10,461.000,2.160,0.333,0.801,1.669,2.886,4.244,6.113,8.154,15.519,0.463
15,506.800,1.966,0.290,0.767,1.669,2.717,3.405,5.900,6.827,16.709,0.509
20,483.200,2.062,0.283,0.795,1.592,2.779,3.737,6.046,7.391,14.239,0.485
25,495.400,2.010,0.280,0.788,1.511,2.763,3.612,6.062,7.081,18.174,0.498
30,489.800,2.037,0.288,0.806,1.732,2.798,3.513,6.079,6.898,18.071,0.491
35,469.600,2.121,0.297,0.815,1.762,2.882,3.734,6.222,7.293,15.730,0.471
40,469.200,2.126,0.307,0.785,1.695,2.869,3.755,6.257,7.636,16.770,0.470
45,509.600,1.956,0.299,0.765,1.651,2.729,3.433,5.875,6.786,13.655,0.511
50,418.000,2.387,0.280,0.807,1.777,3.159,5.216,6.162,9.944,17.615,0.419
55,517.800,1.923,0.287,0.744,1.716,2.700,3.323,5.717,6.373,14.946,0.520
