Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,155.800,4.046,1.371,2.507,3.363,5.055,7.014,8.133,10.552,20.790,0.247
5,197.000,3.195,1.098,2.135,2.737,3.772,5.481,6.242,7.744,16.768,0.313
10,204.200,3.245,0.968,2.082,2.794,3.823,5.754,6.411,7.627,8.763,0.308
15,201.400,3.231,1.004,2.191,2.823,4.057,5.483,6.086,6.855,8.386,0.309
20,215.000,2.999,1.002,2.044,2.647,3.250,5.186,5.833,7.295,8.990,0.333
25,197.400,3.242,1.040,2.121,2.804,3.728,5.726,6.671,7.686,12.696,0.308
30,193.200,3.434,1.246,2.259,2.960,4.463,5.869,6.452,7.438,9.324,0.291
35,217.600,2.955,1.028,2.081,2.682,3.260,4.883,5.725,6.777,8.727,0.338
40,218.400,2.993,1.070,2.050,2.655,3.242,5.116,5.971,7.076,12.490,0.334
45,190.800,3.410,1.046,2.189,2.900,4.417,5.994,6.760,7.642,15.070,0.293
50,165.000,3.854,0.966,2.480,3.235,5.075,6.397,7.432,8.583,11.613,0.259
55,218.000,2.978,1.374,2.094,2.633,3.173,4.948,5.999,7.475,19.543,0.336
