Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.200,1.014,0.353,0.507,0.620,0.968,2.674,3.525,5.676,5.676,0.986
5,15.200,0.778,0.298,0.408,0.587,0.813,0.959,2.280,5.754,5.754,1.285
10,12.000,0.742,0.316,0.376,0.535,0.746,0.930,3.601,5.648,5.648,1.348
15,17.600,0.591,0.271,0.348,0.388,0.684,0.830,0.882,6.307,6.307,1.693
20,15.200,0.614,0.315,0.434,0.637,0.743,0.822,0.839,1.843,1.843,1.629
25,14.200,0.679,0.299,0.347,0.615,0.758,0.826,1.006,5.532,5.532,1.474
30,15.200,0.542,0.294,0.350,0.426,0.706,0.804,0.828,2.973,2.973,1.844
35,14.400,0.468,0.258,0.336,0.391,0.499,0.727,0.815,2.057,2.057,2.135
40,22.000,0.413,0.275,0.332,0.354,0.402,0.664,0.769,0.852,0.884,2.419
45,17.200,0.498,0.274,0.330,0.414,0.672,0.764,0.796,0.939,0.939,2.009
50,16.000,0.485,0.270,0.349,0.417,0.631,0.762,0.816,1.029,1.029,2.061
55,17.800,0.480,0.262,0.331,0.358,0.628,0.788,0.827,2.375,2.375,2.085
