Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.200,9.521,5.609,6.204,8.940,12.845,14.861,16.791,19.527,19.527,0.105
5,18.600,7.840,5.369,5.802,6.071,9.702,12.808,13.335,18.220,18.220,0.128
10,12.800,9.966,5.384,6.060,11.292,12.979,13.441,14.182,17.554,17.554,0.100
15,19.200,8.653,5.102,5.588,8.164,11.802,13.159,13.432,14.390,14.390,0.116
20,15.800,9.599,5.178,5.691,10.943,11.666,12.818,13.098,16.747,16.747,0.104
25,12.600,10.036,5.060,5.828,11.045,12.640,13.000,13.541,14.016,14.016,0.100
30,14.200,8.097,5.216,5.566,5.776,11.439,12.842,13.795,19.756,19.756,0.124
35,12.400,10.148,5.322,5.796,11.413,12.728,13.118,13.480,16.600,16.600,0.099
40,16.400,9.226,5.275,5.622,9.253,12.117,13.283,13.387,18.462,18.462,0.108
45,16.800,7.961,5.266,5.528,5.839,11.288,12.545,13.165,14.149,14.149,0.126
50,20.800,7.580,5.133,5.496,5.946,9.462,12.162,13.232,14.595,15.404,0.132
55,16.200,8.731,5.051,5.409,5.826,12.707,13.147,13.887,22.647,22.647,0.115
