Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,241,241.000,823,1784,2668,4140,5503,7134,9731,22278,25075
1,215,215.000,754,1801,3924,4648,6226,8747,12159,15534,15934
2,432,432.000,393,925,1742,2290,3011,4353,6144,8448,14268
3,385,385.000,348,1075,1789,2587,3484,5498,6076,12114,13816
4,435,435.000,348,932,1718,2304,3152,4667,5834,7189,20221
5,549,549.000,314,716,1551,1803,2537,3169,5613,6127,6997
6,612,612.000,290,710,1334,1626,2340,2906,3210,5762,5902
7,418,418.000,334,820,1614,2387,3111,5540,5930,11557,13583
8,478,478.000,327,732,1516,2086,2786,4608,5808,11208,13002
9,523,523.000,357,761,1483,1901,2592,3267,5068,7240,14325
10,587,587.000,286,705,1131,1695,2385,3037,4257,6517,14485
11,358,358.000,329,854,1862,2784,3651,6005,6921,13059,17939
12,590,590.000,316,734,1257,1689,2404,3034,3381,5948,6195
13,536,536.000,299,728,1372,1856,2582,3368,5211,6948,12809
14,382,382.000,313,943,1837,2603,3461,5703,6809,10848,18402
15,538,538.000,288,699,1404,1847,2430,3278,5615,6354,13112
16,384,384.000,354,1201,1511,2593,3718,5379,6219,11370,12745
17,490,490.000,288,740,1686,2034,2684,3607,5452,10869,11217
18,586,586.000,291,689,1374,1701,2449,3046,3377,5850,13142
19,588,588.000,270,696,1354,1694,2400,3015,4459,6058,13207
20,536,536.000,307,720,1355,1861,2571,3323,5699,6696,16246
21,580,580.000,295,709,1116,1718,2376,3175,4840,6266,13128
22,557,557.000,272,730,1531,1789,2553,3098,4806,6818,7793
23,519,519.000,319,765,1598,1921,2635,3300,5633,6213,11921
24,455,455.000,298,765,1547,2192,2832,4462,5847,11321,16772
25,566,566.000,252,727,1210,1760,2499,3150,4401,6142,15709
26,442,442.000,270,771,1739,2256,2820,5260,6230,7555,13029
27,528,528.000,309,737,1525,1890,2624,3396,5108,5979,11453
28,501,501.000,296,695,1530,1989,2495,3778,5630,11490,17741
29,586,586.000,265,680,1511,1700,2402,3031,3539,5902,7294
30,526,526.000,294,722,1367,1896,2611,3412,4941,7560,22466
31,538,538.000,294,738,1663,1854,2604,3159,4107,6107,12448
32,567,567.000,304,715,1403,1758,2539,3094,3559,5940,6726
33,563,563.000,264,751,1194,1774,2512,3269,3746,6284,16855
34,533,533.000,267,751,1284,1865,2683,3504,5598,6881,12366
35,524,524.000,261,719,1352,1902,2554,3634,5366,6293,13526
36,593,593.000,265,713,1422,1685,2354,3028,3363,5835,6467
37,507,507.000,290,708,1467,1964,2604,3724,5405,10962,12502
38,556,556.000,288,660,1325,1795,2427,3140,5614,8014,18401
39,498,498.000,275,746,1447,2002,2619,4573,5692,7876,14249
40,436,436.000,282,785,1507,2289,2944,4906,5929,11499,12799
41,552,552.000,297,720,1543,1805,2562,3122,4731,6699,12922
42,543,543.000,256,692,1313,1840,2602,3344,4992,7143,11697
43,552,552.000,268,705,1294,1810,2470,3246,5318,7958,12327
44,521,521.000,301,703,1350,1908,2805,3927,5425,6094,11346
45,593,593.000,278,702,1263,1686,2478,3099,3559,6109,7633
46,574,574.000,300,692,1399,1733,2465,3155,5466,6043,6444
47,563,563.000,306,689,1626,1769,2508,3129,3806,5836,13124
48,569,569.000,282,688,1416,1750,2575,3174,5433,5884,7941
49,557,557.000,284,682,1512,1790,2483,3160,5356,6166,12807
50,389,389.000,277,1045,1896,2568,3686,5530,6119,11308,13859
51,580,580.000,265,714,1111,1717,2613,3213,3551,5995,6546
52,563,563.000,290,718,1118,1770,2548,3256,5465,6272,6604
53,540,540.000,317,748,1550,1851,2645,3278,5421,6410,8525
54,527,527.000,300,758,1493,1891,2690,3367,5382,6333,15445
55,457,457.000,291,770,1626,2187,2875,4850,5625,7379,12356
56,376,376.000,252,1256,1674,2646,3518,5994,6871,12572,13896
57,559,559.000,282,748,1385,1781,2338,3105,4892,7326,14597
58,527,527.000,273,742,1619,1894,2653,3335,5411,6030,11087
59,591,591.000,289,733,1293,1685,2480,3068,3289,5694,11193
