Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.400,1.002,0.399,0.527,0.722,1.350,1.799,2.118,5.530,5.530,0.998
5,18.600,0.544,0.300,0.353,0.390,0.517,0.777,0.871,7.797,7.797,1.837
10,12.000,0.629,0.319,0.389,0.582,0.692,0.811,2.047,2.537,2.537,1.589
15,18.400,0.558,0.290,0.332,0.360,0.576,0.808,1.365,4.879,4.879,1.791
20,19.000,0.434,0.277,0.334,0.362,0.431,0.706,0.751,1.441,1.441,2.305
25,19.200,0.583,0.255,0.320,0.363,0.618,0.715,0.768,12.825,12.825,1.714
30,18.600,0.569,0.252,0.326,0.376,0.680,0.801,0.863,4.422,4.422,1.758
35,19.200,0.433,0.287,0.314,0.347,0.535,0.716,0.847,0.996,0.996,2.308
40,17.000,0.471,0.278,0.315,0.392,0.626,0.711,0.759,0.852,0.852,2.122
45,17.600,0.480,0.257,0.310,0.336,0.413,0.727,0.753,8.076,8.076,2.082
50,19.200,0.406,0.256,0.308,0.344,0.444,0.629,0.771,0.986,0.986,2.464
55,21.000,0.450,0.260,0.311,0.343,0.607,0.757,0.824,1.001,1.769,2.223
