Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.800,0.983,0.349,0.454,0.703,1.135,2.188,3.215,3.960,3.960,1.017
5,14.200,0.779,0.343,0.402,0.612,0.808,0.929,1.081,5.017,5.017,1.284
10,18.200,1.022,0.271,0.380,0.640,0.785,0.917,3.936,10.889,10.889,0.978
15,14.200,0.611,0.263,0.350,0.525,0.736,0.786,0.867,3.640,3.640,1.636
20,14.200,0.606,0.279,0.362,0.609,0.729,0.803,0.828,2.497,2.497,1.649
25,14.600,0.767,0.267,0.435,0.625,0.761,0.820,1.062,9.860,9.860,1.303
30,17.800,0.507,0.268,0.327,0.374,0.655,0.805,0.827,2.190,2.190,1.972
35,15.200,0.594,0.274,0.361,0.642,0.765,0.806,0.837,0.998,0.998,1.683
40,14.200,0.500,0.297,0.335,0.453,0.627,0.750,0.790,0.869,0.869,2.000
45,18.400,0.586,0.270,0.320,0.408,0.639,0.771,0.803,9.250,9.250,1.705
50,22.000,0.404,0.254,0.306,0.337,0.451,0.633,0.750,0.800,0.879,2.475
55,15.600,0.445,0.258,0.311,0.336,0.607,0.750,0.806,1.062,1.062,2.246
