Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,130.000,1.540,0.670,0.962,1.467,1.768,2.184,2.591,4.183,16.426,0.649
5,180.000,1.091,0.616,0.733,1.124,1.320,1.521,1.628,2.123,6.742,0.917
10,157.000,1.121,0.594,0.710,0.875,1.485,1.691,1.799,3.112,7.987,0.892
15,129.800,1.327,0.603,1.092,1.353,1.507,1.665,1.770,3.783,11.491,0.754
20,145.800,1.247,0.601,1.026,1.273,1.448,1.591,1.744,2.337,6.179,0.802
25,136.600,1.236,0.580,0.852,1.297,1.461,1.631,1.810,2.386,3.302,0.809
30,124.400,1.375,0.629,1.232,1.397,1.549,1.721,1.809,2.120,2.944,0.727
35,153.600,1.196,0.564,0.832,1.276,1.436,1.581,1.706,1.991,3.212,0.836
40,151.200,1.190,0.598,0.738,1.270,1.471,1.600,1.768,2.046,11.352,0.840
45,175.000,1.052,0.582,0.680,1.093,1.349,1.542,1.653,1.782,2.150,0.951
50,195.000,0.896,0.597,0.687,0.780,1.005,1.298,1.443,1.769,6.920,1.116
55,169.200,1.122,0.580,0.689,0.874,1.380,1.561,1.699,2.276,49.381,0.892
