Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,132.400,1.379,0.631,0.824,1.196,1.616,2.120,2.568,4.596,24.961,0.725
5,190.800,0.966,0.601,0.699,0.777,1.229,1.554,1.670,2.133,5.614,1.036
10,191.800,0.948,0.592,0.684,0.767,1.209,1.535,1.670,1.962,3.537,1.055
15,188.400,0.976,0.580,0.681,0.764,1.296,1.463,1.582,1.996,8.464,1.024
20,208.000,0.877,0.594,0.668,0.724,0.952,1.406,1.538,1.783,2.647,1.141
25,191.000,0.943,0.589,0.691,0.758,1.256,1.495,1.583,1.785,6.678,1.060
30,178.400,1.003,0.585,0.673,0.773,1.362,1.549,1.652,1.836,4.365,0.997
35,207.200,0.874,0.594,0.681,0.736,0.861,1.318,1.479,1.960,11.182,1.144
40,210.600,0.851,0.576,0.681,0.723,0.858,1.327,1.476,1.716,2.184,1.175
45,171.000,0.951,0.590,0.668,0.737,1.294,1.551,1.686,1.861,4.426,1.052
50,150.400,1.130,0.576,0.707,1.017,1.479,1.661,1.778,2.099,11.288,0.885
55,206.600,0.851,0.577,0.675,0.718,0.814,1.428,1.573,1.847,3.653,1.175
