Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.000,8.420,5.576,6.195,6.971,9.839,13.697,14.396,21.234,21.234,0.119
5,23.600,6.481,5.365,5.720,5.879,6.151,9.138,11.675,12.194,13.243,0.154
10,20.600,6.769,5.228,5.569,5.803,6.130,11.407,12.440,13.994,14.308,0.148
15,21.800,6.069,5.285,5.572,5.703,5.963,6.910,7.377,12.750,13.251,0.165
20,19.600,6.769,5.395,5.656,5.824,6.182,11.525,13.161,13.972,13.972,0.148
25,20.000,6.677,5.329,5.579,5.768,5.978,12.637,13.047,13.688,13.688,0.150
30,23.000,7.094,5.231,5.663,5.829,6.192,11.468,12.553,15.260,18.491,0.141
35,21.600,6.878,5.106,5.552,5.771,6.282,11.492,12.280,13.144,13.364,0.145
40,21.000,6.481,5.146,5.493,5.678,5.847,10.978,12.100,13.093,13.809,0.154
45,24.200,6.298,5.198,5.548,5.687,5.882,7.749,11.088,12.843,13.517,0.159
50,21.800,6.823,5.150,5.579,5.872,6.454,10.927,12.727,14.880,16.274,0.147
55,23.000,6.912,5.159,5.475,5.618,6.304,11.665,13.209,13.624,14.104,0.145
