Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,147.400,4.113,1.317,2.576,3.438,5.437,6.778,8.177,9.891,15.938,0.243
5,203.600,3.167,0.934,2.155,2.804,3.811,5.391,5.921,7.077,11.689,0.316
10,197.800,3.162,1.211,2.086,2.727,3.533,5.582,6.334,7.829,14.464,0.316
15,245.000,2.597,1.023,1.987,2.472,2.933,3.323,4.298,6.364,9.215,0.385
20,251.000,2.596,1.097,1.974,2.474,2.957,3.292,4.342,6.366,8.874,0.385
25,223.000,2.915,1.076,2.054,2.639,3.259,4.772,5.511,6.592,15.009,0.343
30,238.800,2.771,1.003,1.994,2.549,3.056,4.221,5.578,6.889,9.570,0.361
35,248.800,2.556,1.016,1.953,2.440,2.892,3.276,4.143,6.638,7.700,0.391
40,254.800,2.586,1.012,1.992,2.487,2.909,3.288,4.367,6.250,7.952,0.387
45,258.600,2.486,1.100,1.934,2.402,2.831,3.157,3.435,6.023,11.900,0.402
50,212.400,3.025,1.236,2.098,2.623,3.280,4.976,5.977,7.658,22.303,0.331
55,279.200,2.371,1.081,1.925,2.349,2.807,3.075,3.184,3.658,5.837,0.422
