Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,170.600,1.185,0.630,0.804,0.974,1.326,1.762,2.026,3.844,13.943,0.844
5,218.800,0.824,0.597,0.703,0.751,0.839,1.051,1.319,1.691,4.659,1.213
10,207.400,0.913,0.578,0.684,0.739,0.991,1.392,1.568,2.153,13.360,1.095
15,220.000,0.855,0.563,0.663,0.710,0.813,1.359,1.489,1.779,16.526,1.170
20,224.600,0.829,0.585,0.658,0.705,0.828,1.304,1.457,1.783,2.620,1.206
25,211.600,0.884,0.582,0.683,0.732,0.854,1.449,1.595,1.767,13.309,1.131
30,221.800,0.832,0.581,0.662,0.703,0.796,1.286,1.518,1.777,10.012,1.202
35,216.800,0.771,0.559,0.647,0.684,0.758,1.152,1.354,1.668,1.976,1.296
40,217.600,0.850,0.584,0.665,0.711,0.836,1.358,1.460,1.754,2.087,1.176
45,242.400,0.801,0.592,0.671,0.707,0.767,0.906,1.300,2.165,14.836,1.249
50,188.200,0.934,0.566,0.677,0.745,1.132,1.543,1.679,1.899,3.105,1.071
55,231.800,0.771,0.589,0.673,0.708,0.767,0.924,1.307,1.604,1.975,1.296
