Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.400,12.408,6.099,7.398,13.053,16.204,18.533,19.214,21.031,21.031,0.081
5,15.800,9.452,5.601,6.011,8.755,12.051,14.056,16.114,19.038,19.038,0.106
10,16.000,9.277,5.282,5.860,10.621,11.937,13.342,13.711,16.179,16.179,0.108
15,14.600,9.806,5.311,5.865,11.214,12.345,13.176,14.119,15.787,15.787,0.102
20,15.600,9.114,5.306,5.682,10.996,12.506,13.388,14.039,14.696,14.696,0.110
25,13.200,8.017,5.246,5.557,5.767,11.582,13.202,13.811,14.532,14.532,0.125
30,18.200,8.411,5.402,5.676,5.991,11.838,13.138,13.537,14.527,14.527,0.119
35,19.400,8.336,5.362,5.742,6.100,12.068,13.371,13.645,15.790,15.790,0.120
40,13.600,10.067,5.237,6.056,11.402,13.069,13.816,14.374,15.450,15.450,0.099
45,19.600,7.069,5.197,5.479,5.664,6.682,12.442,13.478,15.541,15.541,0.141
50,13.200,9.936,5.269,5.664,11.709,13.604,14.767,15.193,17.255,17.255,0.101
55,16.000,7.783,5.282,5.580,8.023,9.056,11.967,13.289,14.540,14.540,0.128
