Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,149.200,4.256,1.541,2.710,3.780,5.445,6.936,7.734,10.136,17.251,0.235
5,214.400,2.960,1.049,2.033,2.603,3.170,4.621,5.886,8.046,26.234,0.338
10,197.200,3.152,1.294,2.133,2.801,3.579,5.194,6.158,7.882,9.214,0.317
15,218.400,2.927,1.004,2.024,2.645,3.198,4.842,5.757,6.615,15.495,0.342
20,240.800,2.720,0.983,1.965,2.496,3.015,4.090,5.250,6.850,12.228,0.368
25,234.000,2.763,1.435,2.016,2.489,3.020,3.943,5.431,7.711,14.960,0.362
30,236.800,2.698,0.984,2.010,2.506,3.035,3.790,4.798,6.213,13.631,0.371
35,205.000,3.260,1.059,2.104,2.693,3.432,5.674,6.524,12.489,17.765,0.307
40,224.200,2.867,1.113,2.013,2.583,3.126,4.676,5.612,7.060,13.785,0.349
45,229.200,2.750,0.941,1.989,2.504,3.035,4.202,5.349,6.697,8.443,0.364
50,244.400,2.621,1.063,2.034,2.529,2.995,3.373,3.671,5.976,18.396,0.382
55,250.600,2.679,0.969,1.990,2.492,2.968,3.627,5.092,6.437,9.538,0.373
