Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,190,190.000,1146,2067,4472,5247,6888,9234,14980,21508,21614
1,399,399.000,421,977,1935,2488,3120,4908,7096,11918,15912
2,431,431.000,432,918,1686,2308,3040,4473,6090,9208,20390
3,391,391.000,331,829,1739,2548,3078,5405,6865,13335,16656
4,491,491.000,344,759,1509,2034,2669,4391,5618,7260,11890
5,497,497.000,363,769,1558,2006,2665,3970,5787,7543,14327
6,456,456.000,348,795,1435,2178,2801,5041,5726,11797,16821
7,492,492.000,308,730,1624,2024,2702,4148,5624,8906,16903
8,527,527.000,281,712,1635,1899,2486,3172,5576,8146,12088
9,443,443.000,308,785,1732,2242,2974,4657,5602,9521,17201
10,458,458.000,326,820,1668,2169,2891,4464,5838,9161,11503
11,508,508.000,329,759,1519,1960,2728,3506,5690,7079,17753
12,505,505.000,316,750,1525,1953,2641,3479,5689,8399,12706
13,402,402.000,264,1106,1755,2473,3268,5228,5963,11470,11893
14,528,528.000,304,729,1510,1885,2600,3290,5477,6627,11378
15,568,568.000,295,688,1521,1752,2444,3098,5222,5832,12925
16,568,568.000,260,689,1460,1759,2411,3101,5354,6410,14852
17,477,477.000,237,729,1568,2082,2699,4697,5647,11160,17056
18,491,491.000,307,739,1556,2032,2756,4111,5564,6740,11577
19,604,604.000,284,707,1291,1652,2399,2969,3331,5662,8208
20,470,470.000,252,724,1435,2120,2737,4953,5810,11322,16180
21,512,512.000,296,688,1396,1948,2600,4481,5340,6222,11697
22,603,603.000,268,667,1297,1653,2322,2975,4424,6249,9719
23,513,513.000,278,706,1496,1946,2568,3889,5318,6377,12522
24,597,597.000,298,702,1413,1667,2451,2989,3270,5810,6713
25,605,605.000,288,674,1274,1648,2326,2932,3519,5703,7762
26,506,506.000,309,688,1661,1970,2612,3828,5460,6160,13251
27,550,550.000,266,696,1529,1813,2491,3176,5375,5881,7627
28,578,578.000,272,704,1386,1726,2353,3131,4901,6389,13696
29,565,565.000,252,711,1439,1765,2461,3116,5398,6293,11145
30,568,568.000,253,724,1357,1752,2531,3157,3508,6041,15304
31,549,549.000,260,722,1574,1818,2579,3198,5370,5946,8800
32,425,425.000,310,1159,1575,2343,3209,5400,5805,7351,12612
33,619,619.000,285,658,1305,1618,2380,2962,3440,5597,6404
34,582,582.000,288,668,1482,1707,2459,2930,3243,5801,14146
35,568,568.000,254,664,1498,1755,2445,3109,4799,5930,11854
36,619,619.000,279,657,1242,1611,2299,2903,3139,5667,12408
37,482,482.000,284,686,1535,2076,2769,4794,5479,9351,11383
38,531,531.000,277,684,1506,1872,2548,3249,5476,6100,12488
39,470,470.000,289,720,1418,2127,2851,4801,5736,11048,12006
40,588,588.000,283,701,1274,1695,2454,2980,3735,5869,18060
41,559,559.000,286,704,1601,1783,2628,3149,3999,5735,6506
42,469,469.000,267,718,1552,2126,2730,5298,5805,11355,12832
43,521,521.000,253,682,1386,1915,2526,3807,5344,10899,13605
44,509,509.000,285,672,1513,1962,2740,4176,5363,6287,11285
45,607,607.000,292,663,1458,1638,2437,2924,3152,5530,11689
46,580,580.000,251,663,1288,1719,2406,3049,5248,6113,12258
47,512,512.000,297,726,1585,1950,2606,3475,5586,6662,12920
48,643,643.000,255,656,1008,1549,2269,2919,3173,5607,6422
49,560,560.000,277,695,1518,1782,2488,3083,5223,5941,13901
50,529,529.000,275,710,1323,1884,2546,3828,5217,6329,11593
51,579,579.000,295,730,1516,1722,2523,3154,3505,5678,6273
52,558,558.000,297,759,1549,1786,2564,3311,3806,6212,6798
53,422,422.000,294,796,1673,2366,3146,5431,6140,11077,16980
54,458,458.000,320,744,1735,2183,2751,5150,6089,8722,13846
55,533,533.000,288,709,1565,1867,2577,3220,5324,5780,11229
56,594,594.000,296,711,1291,1681,2299,3095,4910,6115,10474
57,485,485.000,283,720,1396,2056,2683,4713,5627,10839,12824
58,489,489.000,262,746,1464,2038,2730,4054,5519,11072,11642
59,616,616.000,293,703,1006,1612,2319,3015,3257,5531,5920
