Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,375.200,2.652,0.351,1.036,1.942,3.318,5.664,6.657,13.175,20.817,0.377
5,449.000,2.218,0.338,0.770,1.605,2.886,4.805,5.858,11.222,22.007,0.451
10,369.600,2.696,0.300,0.909,1.772,3.398,5.883,7.128,12.860,19.832,0.371
15,342.000,2.921,0.287,1.190,1.756,4.272,6.025,7.312,12.975,17.871,0.342
20,433.600,2.300,0.248,0.753,1.589,2.890,5.341,6.320,11.638,14.597,0.435
25,399.800,2.494,0.302,0.811,1.631,3.165,5.518,6.599,12.130,22.083,0.401
30,346.000,2.884,0.288,1.244,1.845,4.181,5.903,6.879,12.763,21.043,0.347
35,374.200,2.667,0.281,1.112,1.659,3.755,5.859,6.931,12.801,15.283,0.375
40,417.800,2.389,0.268,0.804,1.572,3.050,5.397,6.047,11.534,22.034,0.419
45,368.200,2.710,0.288,1.036,1.807,3.731,5.735,7.036,12.396,19.298,0.369
50,509.600,1.957,0.276,0.757,1.584,2.677,3.441,5.404,7.052,20.068,0.511
55,500.600,1.991,0.279,0.715,1.574,2.643,4.046,5.405,7.161,13.317,0.502
