Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.200,1.383,0.792,1.129,1.255,1.520,1.985,2.294,3.072,3.072,0.723
5,19.400,1.315,0.747,1.123,1.263,1.425,1.712,1.862,2.199,2.199,0.760
10,20.800,1.255,0.827,1.119,1.223,1.397,1.526,1.553,1.692,1.816,0.797
15,13.800,1.371,0.850,1.203,1.345,1.492,1.704,2.040,2.625,2.625,0.730
20,20.200,1.303,0.793,1.136,1.250,1.419,1.542,1.739,2.165,2.975,0.767
25,16.800,1.383,0.818,1.143,1.312,1.588,1.869,2.041,2.354,2.354,0.723
30,17.600,1.396,0.801,1.162,1.322,1.612,1.900,1.952,2.650,2.650,0.717
35,16.200,1.507,0.895,1.195,1.376,1.797,2.156,2.352,3.048,3.048,0.663
40,17.000,1.374,0.866,1.179,1.366,1.529,1.686,1.779,2.158,2.158,0.728
45,18.600,1.308,0.858,1.099,1.282,1.416,1.703,1.981,2.269,2.269,0.764
50,20.400,1.308,0.862,1.070,1.205,1.454,1.761,1.987,2.455,2.547,0.764
55,21.600,1.284,0.767,1.117,1.232,1.401,1.621,1.908,2.093,2.257,0.779
