Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,187,187.000,1324,2179,3933,5342,7028,9087,17127,21713,27255
1,271,271.000,476,1453,2700,3643,5130,7184,8979,14780,21918
2,397,397.000,340,1057,2044,2517,3160,5313,6968,9399,13291
3,339,339.000,358,1057,2086,2925,3569,6734,8333,13862,16153
4,423,423.000,418,874,1888,2356,3085,4817,6617,9381,18221
5,382,382.000,417,917,2016,2605,3367,5655,6704,13364,16403
6,389,389.000,403,850,1874,2555,3142,5866,6816,15133,16560
7,487,487.000,385,825,1506,2045,2749,3530,5974,8580,17686
8,441,441.000,388,863,1851,2257,2977,3835,6696,8933,16770
9,423,423.000,381,844,1996,2352,3095,4076,6304,8930,15626
10,374,374.000,389,859,1857,2662,3381,6210,7022,13619,14633
11,322,322.000,349,972,1890,3102,3588,6887,8793,15845,16462
12,399,399.000,367,906,1956,2511,3172,5099,6523,14169,19969
13,479,479.000,325,839,1747,2061,2901,3591,5597,7615,13225
14,518,518.000,301,831,1331,1925,2795,3539,4012,6819,6902
15,482,482.000,346,816,1766,2062,2822,3793,6153,7396,7965
16,532,532.000,347,815,1301,1872,2814,3372,3686,6603,8492
17,507,507.000,343,816,1722,1964,2862,3506,3787,6607,6976
18,512,512.000,316,806,1221,1914,2686,3505,4537,6730,14834
19,544,544.000,354,808,1373,1843,2581,3343,3684,6465,7008
20,464,464.000,347,838,1688,2136,2924,3775,6314,7422,13720
21,447,447.000,308,833,1687,2232,2996,4639,6446,7395,13414
22,520,520.000,346,820,1672,1920,2839,3482,3685,6495,11666
23,532,532.000,316,804,1451,1870,2618,3397,4865,6555,9595
24,428,428.000,335,828,1938,2331,3110,4709,6497,8985,16537
25,479,479.000,306,819,1761,2092,2863,3563,6370,7811,16729
26,484,484.000,281,816,1877,2052,2886,3511,6178,6492,7425
27,433,433.000,337,813,1663,2298,2894,5789,6633,9597,15199
28,520,520.000,337,775,1283,1916,2745,3446,4673,6762,21649
29,501,501.000,331,790,1591,1995,2721,3541,4909,8297,15084
30,389,389.000,350,948,1896,2561,3411,5213,7274,8502,20761
31,477,477.000,313,813,1505,2091,2925,3692,6335,7516,13390
32,494,494.000,344,786,1450,2012,2771,3684,5956,8744,14878
33,423,423.000,324,849,1924,2355,3027,4129,6703,10237,19366
34,468,468.000,344,844,1833,2134,3011,3720,6380,7109,16451
35,459,459.000,331,815,1598,2173,2840,4048,6739,8257,18847
36,497,497.000,349,826,1504,2003,2794,3634,5331,7754,13994
37,521,521.000,355,816,1228,1913,2712,3498,3862,6771,6984
38,419,419.000,349,844,1861,2408,3098,5813,6777,9853,14663
39,502,502.000,333,810,1616,1961,2840,3605,4512,6542,6817
40,493,493.000,335,838,1819,2019,2881,3582,4211,7085,11698
41,535,535.000,304,796,1411,1862,2669,3397,3674,6628,11554
42,518,518.000,341,801,1784,1927,2871,3427,3712,6376,6520
43,489,489.000,316,793,1563,2038,2841,3765,6013,6923,12792
44,559,559.000,311,735,1677,1786,2633,3271,3512,6231,6431
45,535,535.000,305,753,1684,1859,2564,3327,3672,6492,7421
46,520,520.000,314,749,1720,1917,2698,3330,4697,6629,16464
47,507,507.000,292,731,1247,1965,2637,3507,6006,8105,16008
48,563,563.000,316,733,1333,1771,2537,3183,3558,6213,6597
49,570,570.000,314,726,1466,1747,2564,3173,3516,6215,6854
50,536,536.000,284,738,1364,1860,2678,3347,5674,6635,7498
51,502,502.000,317,765,1653,1989,2790,3551,5607,7049,13456
52,329,329.000,371,1124,1968,3028,3998,6735,8183,11814,15622
53,456,456.000,318,804,1709,2188,3026,4211,5707,9256,10093
54,526,526.000,322,793,1554,1897,2723,3415,4197,6455,8990
55,534,534.000,305,779,1513,1863,2667,3357,3730,6220,13944
56,503,503.000,310,746,1691,1986,2733,3456,5234,8021,14661
57,523,523.000,278,741,1704,1902,2722,3315,5752,6310,6595
58,561,561.000,281,741,1352,1786,2571,3206,3422,6043,25342
59,494,494.000,289,749,1761,2002,2744,3467,5905,8009,10296
