Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.000,9.778,5.584,6.315,7.471,13.652,14.694,16.563,20.456,20.456,0.102
5,14.800,8.530,5.397,5.820,6.151,12.024,12.781,13.659,15.280,15.280,0.117
10,14.000,8.406,5.468,6.082,7.459,9.424,13.069,15.009,17.081,17.081,0.119
15,17.600,9.564,5.280,5.823,8.475,12.114,16.784,18.562,20.968,20.968,0.105
20,21.200,7.145,5.202,5.532,5.795,6.966,12.583,13.235,14.158,23.886,0.140
25,18.000,7.820,5.483,5.705,6.029,10.204,12.803,14.440,15.490,15.490,0.128
30,15.400,8.547,5.661,6.040,6.249,12.230,15.236,15.948,24.211,24.211,0.117
35,10.600,10.888,5.870,6.680,9.444,14.774,17.588,18.998,27.136,27.136,0.092
40,13.800,11.550,6.430,7.005,7.918,16.585,19.771,21.621,34.909,34.909,0.087
45,13.000,9.072,6.264,6.702,7.057,9.822,17.167,17.524,19.378,19.378,0.110
50,13.200,8.553,5.980,6.340,6.596,9.231,16.254,16.531,20.582,20.582,0.117
55,17.000,7.589,5.899,6.125,6.304,6.891,13.808,14.887,16.144,16.144,0.132
