Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,263.200,3.780,0.363,1.182,2.686,4.729,8.432,10.044,18.331,76.446,0.265
5,294.200,3.384,0.300,1.068,2.346,4.126,7.406,9.831,18.930,48.202,0.296
10,204.000,4.876,0.407,1.610,3.101,6.383,10.374,13.803,22.905,55.610,0.205
15,241.000,4.134,0.395,1.284,2.915,5.372,9.088,11.012,21.202,54.818,0.242
20,230.800,4.305,0.404,1.328,3.230,5.853,9.413,11.308,20.923,37.162,0.232
25,183.800,5.415,0.381,1.520,3.673,6.753,12.371,15.810,26.474,69.341,0.185
30,220.800,4.509,0.401,1.414,3.024,5.939,10.019,12.845,20.735,36.225,0.222
35,310.600,3.207,0.337,1.152,2.494,4.159,6.751,8.368,13.845,58.670,0.312
40,305.000,3.266,0.363,1.171,2.480,4.193,6.839,8.249,16.394,27.417,0.306
45,251.400,3.968,0.371,1.378,2.603,5.219,9.081,10.806,17.985,30.841,0.252
50,339.200,2.937,0.303,1.066,2.148,3.799,6.478,8.171,12.317,19.728,0.341
55,444.000,2.241,0.278,0.923,1.693,3.182,4.042,5.767,8.425,21.621,0.446
