Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,9.800,1.867,1.016,1.337,1.687,2.262,2.723,3.350,4.018,4.018,0.536
5,14.800,1.443,0.728,1.136,1.295,1.724,2.019,2.171,2.749,2.749,0.693
10,15.200,1.465,0.782,1.185,1.319,1.740,1.904,2.483,3.200,3.200,0.683
15,11.000,1.766,1.041,1.453,1.672,1.999,2.345,2.903,3.492,3.492,0.566
20,11.800,1.791,0.918,1.216,1.484,2.116,2.942,3.761,4.185,4.185,0.558
25,11.000,2.009,1.083,1.433,1.799,2.310,3.156,3.220,4.612,4.612,0.498
30,15.600,1.393,0.834,1.076,1.267,1.556,1.921,2.098,4.331,4.331,0.718
35,15.400,1.524,0.885,1.182,1.321,1.683,2.296,2.631,6.607,6.607,0.656
40,11.800,1.664,0.990,1.356,1.586,1.820,2.250,2.707,3.497,3.497,0.601
45,15.800,1.862,0.955,1.331,1.601,1.963,3.153,3.392,5.182,5.182,0.537
50,11.200,2.069,1.140,1.538,1.693,2.180,3.007,3.358,11.245,11.245,0.483
55,7.800,2.176,1.438,1.812,2.079,2.321,2.786,3.093,5.569,5.569,0.460
