Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.200,1.544,0.409,0.571,1.130,1.872,3.262,5.286,6.122,6.122,0.648
5,22.200,0.560,0.354,0.443,0.480,0.561,0.772,0.995,2.088,2.318,1.786
10,10.600,1.122,0.340,0.464,0.715,0.944,1.636,2.604,13.765,13.765,0.891
15,10.400,1.051,0.396,0.458,0.752,1.087,1.400,3.205,9.893,9.893,0.952
20,12.800,0.584,0.387,0.489,0.553,0.629,0.767,0.970,1.056,1.056,1.713
25,14.400,0.706,0.432,0.500,0.590,0.872,1.018,1.121,2.315,2.315,1.416
30,13.200,0.741,0.378,0.424,0.460,0.547,0.706,0.854,13.952,13.952,1.349
35,16.600,0.526,0.316,0.419,0.457,0.530,0.771,1.111,1.248,1.248,1.901
40,17.600,0.547,0.318,0.394,0.419,0.465,0.525,0.747,8.351,8.351,1.829
45,17.600,0.463,0.298,0.367,0.398,0.444,0.674,0.766,2.808,2.808,2.160
50,20.400,0.485,0.303,0.367,0.386,0.423,0.459,0.519,0.758,8.958,2.062
55,19.000,0.458,0.310,0.340,0.367,0.434,0.503,0.709,5.747,5.747,2.182
