Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,82,82.000,2557,6094,9864,12271,14041,22462,31598,77295,77295
1,201,201.000,1176,1856,3751,4837,6309,10664,13132,16486,20019
2,216,216.000,690,1637,3680,4622,6120,9793,13805,17393,22820
3,104,104.000,1504,2900,7655,9545,11810,18041,27506,43837,48007
4,140,140.000,1329,2349,5009,7200,9922,15103,23100,25903,30716
5,222,222.000,759,1736,2900,4453,5762,8797,11897,25541,31301
6,340,340.000,301,957,1901,2908,3376,5887,8504,16707,38026
7,185,185.000,694,1827,4495,5385,7181,11251,14832,20680,23250
8,278,278.000,337,1341,2218,3578,5034,7889,9628,13864,22433
9,360,360.000,343,957,2021,2773,3352,5428,8852,14027,17765
10,452,452.000,286,791,1758,2202,2641,4263,5845,11795,19125
11,328,328.000,332,980,1992,3031,3819,6672,8864,12960,21578
12,447,447.000,286,753,1630,2264,2807,4880,6294,12662,20645
13,330,330.000,336,936,1935,2971,4017,6675,9404,14423,19119
14,358,358.000,323,903,2066,2778,3727,5796,7363,11801,15585
15,548,548.000,240,749,1481,1813,2631,3252,4813,5661,7297
16,488,488.000,287,767,1556,2038,2649,4576,5499,7894,14586
17,349,349.000,321,1295,1750,2859,4074,6194,7093,12931,14880
18,439,439.000,264,813,1672,2267,2945,4772,6129,11104,12630
19,532,532.000,295,715,1307,1870,2532,3518,4910,8041,13445
20,611,611.000,285,706,1053,1628,2418,3011,3353,4902,5833
21,574,574.000,257,729,1579,1736,2520,3176,4571,5084,6442
22,473,473.000,259,735,1636,2111,2633,4660,5745,9800,12934
23,445,445.000,264,751,1635,2237,2833,4840,5929,10746,13009
24,429,429.000,276,787,1575,2319,2929,5188,6403,10465,11619
25,575,575.000,222,708,1322,1728,2477,3104,4607,6368,11118
26,444,444.000,281,717,1742,2238,2568,3812,5656,15476,24014
27,340,340.000,294,1024,2046,2907,3671,6309,7771,16166,21619
28,470,470.000,255,771,1701,2119,2851,4509,5577,7257,15765
29,317,317.000,329,1143,1976,3144,4206,6303,7917,13450,38799
30,273,273.000,445,1126,2295,3664,4308,9347,11919,18691,25673
31,440,440.000,310,921,1595,2249,3085,4348,5614,8371,15445
32,358,358.000,295,1071,2189,2785,3776,5624,6667,9870,19973
33,206,206.000,367,1528,2741,4861,5007,11561,14502,22911,110004
34,330,330.000,283,1074,1997,3016,4077,6720,8146,14887,17189
35,401,401.000,303,981,1783,2468,3575,4965,6578,7802,11720
36,503,503.000,258,726,1569,1991,2651,4277,4935,8286,15581
37,447,447.000,258,812,1763,2218,3013,4784,5792,7440,14110
38,417,417.000,263,841,1741,2395,3039,5118,7108,9140,22935
39,270,270.000,293,1065,2576,3674,4514,8600,11776,15076,19738
40,282,282.000,400,1075,2139,3530,4130,6345,9302,17110,114154
41,495,495.000,236,741,1505,2015,2803,3888,5005,9497,15562
42,447,447.000,251,878,1841,2222,3160,4282,5274,7172,9153
43,490,490.000,262,699,1658,2049,2632,3974,5282,9446,16252
44,268,268.000,286,1640,2006,3696,5439,7875,10218,14154,15685
45,234,234.000,743,1634,3059,4275,5996,8226,13712,14853,15740
46,414,414.000,263,803,1827,2412,3057,5259,7174,10741,13882
47,411,411.000,256,752,1733,2412,2976,5190,6687,10909,18377
48,440,440.000,248,752,1789,2268,3026,4634,5960,12958,15871
49,508,508.000,215,769,1532,1958,2876,3825,4937,6592,7509
50,565,565.000,247,708,1504,1766,2540,3142,4430,5871,10850
51,558,558.000,231,712,1460,1783,2625,3262,4713,5364,6812
52,523,523.000,258,761,1701,1901,2655,3660,4685,5987,9700
53,448,448.000,257,743,1603,2228,2871,4976,5893,10110,15247
54,414,414.000,242,953,1649,2406,3197,5142,6246,10593,13727
55,557,557.000,257,717,1379,1791,2435,3275,4690,7047,13569
56,513,513.000,242,705,1574,1937,2588,3883,4920,7836,15785
57,513,513.000,250,712,1567,1947,2596,4190,4922,6587,12861
58,562,562.000,251,693,1493,1780,2510,3220,4573,6389,12609
59,433,433.000,257,924,1759,2280,3300,4359,5418,8078,14954
