Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,291,291.000,871,1347,2755,3409,4122,6122,8761,19164,31757
1,394,394.000,507,1072,1435,2526,3450,4389,7581,9265,13666
2,445,445.000,361,890,1627,2234,3033,3889,6432,9512,12020
3,321,321.000,379,1067,1796,3104,4370,6699,8598,13857,20664
4,359,359.000,389,1060,1834,2777,3772,5624,6889,12602,15707
5,483,483.000,349,775,1702,2062,2683,4121,6006,6810,11427
6,501,501.000,334,744,1443,1984,2760,3668,5811,6692,13570
7,304,304.000,343,1405,2062,3288,4806,6715,8566,13658,14651
8,481,481.000,329,782,1599,2066,2674,3630,6077,8637,17328
9,344,344.000,360,886,1808,2889,3441,6553,8143,14460,19419
10,350,350.000,380,1190,1780,2849,3910,6569,7593,12605,19639
11,329,329.000,363,1358,1806,3036,4216,6889,7597,13180,19817
12,429,429.000,338,779,1713,2311,2845,5705,6187,13057,15758
13,369,369.000,349,1211,1698,2703,3799,5764,6303,12987,13875
14,355,355.000,338,1247,1711,2805,3691,6095,6960,13498,19186
15,362,362.000,360,1045,1681,2752,3789,5883,7441,13961,15462
16,386,386.000,318,827,1738,2583,3036,6098,7008,13386,16081
17,289,289.000,346,1439,2364,3450,4944,7161,7891,13713,15398
18,304,304.000,352,1391,1920,3274,4829,6368,7299,14433,23198
19,471,471.000,358,791,1451,2111,2925,4090,5863,7243,18193
20,371,371.000,315,766,1919,2695,3256,6438,7738,13745,14661
21,255,255.000,709,1557,2347,3897,5688,7491,9237,14531,15392
22,333,333.000,458,1160,2363,3004,4383,5859,6581,11601,12591
23,283,283.000,719,1483,1920,3519,5207,6590,7834,13088,15088
24,298,298.000,705,1398,1779,3334,4810,6205,6677,12385,14698
25,346,346.000,311,1229,1655,2881,4145,6191,6917,12823,14617
26,276,276.000,374,1583,1974,3613,5555,7597,8399,14294,14587
27,474,474.000,289,723,1561,2118,2583,4949,6134,13324,15333
28,403,403.000,347,865,1795,2462,3213,5364,6765,9451,18511
29,204,204.000,356,1494,2944,4921,5652,11441,15414,28850,66322
30,308,308.000,367,951,2099,3218,4151,7547,8900,15526,23809
31,327,327.000,346,991,2170,3030,3753,6330,9571,14461,18093
32,306,306.000,343,1311,2327,3252,4294,6766,8653,13206,16895
33,406,406.000,341,767,1759,2455,2903,4671,6526,13691,36484
34,341,341.000,383,1226,2056,2921,3905,6536,7658,9732,18090
35,264,264.000,379,1627,2161,3796,5900,7961,8723,15692,17930
36,373,373.000,314,872,1911,2660,3387,5595,7559,15019,17909
37,381,381.000,314,1126,1690,2612,3450,5841,6723,11863,12904
38,450,450.000,309,750,1675,2215,2814,4639,6514,11988,17083
39,412,412.000,283,804,1759,2416,3131,5386,6837,10994,14819
40,475,475.000,310,763,1647,2100,2814,4283,5738,8445,14114
41,370,370.000,310,858,1968,2710,3257,6143,7310,13569,15490
42,289,289.000,447,1232,2211,3431,4663,7196,9247,17384,21678
43,243,243.000,709,1533,3202,4103,5897,7296,12201,14401,24407
44,163,163.000,907,2076,4392,6118,7907,13955,18679,33400,35068
45,180,180.000,466,1533,3241,5529,6796,13290,19443,46656,48558
46,387,387.000,327,993,1892,2571,3265,5340,7401,10387,21149
47,276,276.000,390,1340,2175,3612,5572,7962,9833,14586,16517
48,206,206.000,737,1983,4358,4839,6593,9083,11476,18338,22547
49,237,237.000,475,1206,2968,4199,5349,8574,11892,25390,50583
50,414,414.000,350,888,1844,2418,3182,4977,6320,9754,20653
51,244,244.000,770,1671,2849,4069,5794,7911,9850,15361,20247
52,288,288.000,316,1201,2487,3447,4010,7710,9595,19896,24233
53,325,325.000,369,1009,2060,3065,3771,6219,7534,10321,92630
54,234,234.000,360,1895,2723,4250,5764,8995,11076,17833,20334
55,238,238.000,611,1644,2931,4204,5999,8024,11684,15354,17853
56,192,192.000,626,1795,3987,5173,7200,9588,15287,24578,27434
57,242,242.000,456,1888,2475,4105,5876,9198,10829,16354,16937
58,309,309.000,362,1169,2143,3226,4290,7388,8494,12403,17093
59,527,527.000,275,722,1635,1879,2584,3286,5554,6609,13011
