Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,343.200,2.900,0.346,1.151,2.015,3.627,6.107,7.606,13.679,40.022,0.345
5,381.200,2.614,0.313,0.860,1.751,3.269,5.905,6.886,13.159,23.016,0.383
10,329.800,3.022,0.333,1.277,1.870,4.338,6.339,7.600,13.812,41.132,0.331
15,417.200,2.388,0.314,0.779,1.675,2.850,5.570,6.768,12.594,18.092,0.419
20,303.000,3.290,0.317,1.411,1.991,4.729,6.455,7.744,13.020,49.009,0.304
25,296.600,3.358,0.331,1.381,1.873,4.921,6.428,7.926,13.417,18.104,0.298
30,298.400,3.347,0.280,1.485,1.959,5.174,6.825,7.846,13.200,20.951,0.299
35,332.400,3.003,0.270,1.255,1.847,4.260,6.607,7.750,14.028,19.382,0.333
40,357.000,2.793,0.263,1.054,1.738,3.994,6.092,7.415,13.411,16.124,0.358
45,369.000,2.704,0.268,1.167,1.765,3.875,5.861,6.722,13.239,17.318,0.370
50,345.200,2.889,0.278,1.192,1.826,4.229,5.993,6.930,12.498,20.891,0.346
55,352.000,2.830,0.300,1.234,1.759,3.975,6.202,7.422,13.024,18.937,0.353
