Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,92.400,2.226,0.663,1.410,1.797,2.397,3.220,4.034,10.006,42.274,0.449
5,154.400,1.275,0.629,0.784,0.960,1.411,2.007,2.570,4.462,27.261,0.784
10,153.200,1.207,0.600,0.765,0.965,1.329,1.962,2.476,4.168,10.270,0.829
15,170.000,1.170,0.615,0.758,0.897,1.236,1.841,2.139,5.254,15.197,0.855
20,172.400,1.067,0.618,0.797,0.922,1.165,1.608,1.885,2.771,7.694,0.937
25,180.400,1.152,0.707,0.818,0.897,1.059,1.597,2.100,3.493,43.174,0.868
30,175.400,1.056,0.801,0.892,0.943,1.035,1.300,1.692,2.305,19.621,0.947
35,165.800,1.079,0.790,0.906,0.962,1.066,1.373,1.910,2.516,3.861,0.927
40,169.400,1.096,0.771,0.891,0.953,1.075,1.720,2.075,2.420,3.557,0.912
45,133.400,1.446,0.826,0.996,1.391,1.802,1.987,2.105,2.393,9.795,0.692
50,107.200,1.639,0.807,1.406,1.609,1.804,2.058,2.339,3.052,3.973,0.610
55,154.600,1.127,0.706,0.806,0.871,1.548,1.823,1.996,2.496,5.537,0.887
