Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8.800,1.860,1.175,1.399,1.729,2.124,2.640,3.111,4.996,4.996,0.538
5,11.800,1.689,1.013,1.370,1.509,1.702,2.483,3.177,4.673,4.673,0.592
10,15.000,1.771,1.029,1.321,1.560,1.964,2.641,2.703,4.617,4.617,0.564
15,13.200,1.676,1.031,1.437,1.622,1.882,1.985,2.345,3.122,3.122,0.597
20,13.200,1.909,0.991,1.258,1.754,2.161,3.139,3.879,6.459,6.459,0.524
25,17.000,1.435,0.957,1.246,1.370,1.490,1.725,2.161,3.040,3.040,0.697
30,17.400,1.560,0.885,1.222,1.386,1.707,2.354,2.651,3.982,3.982,0.641
35,14.000,1.646,0.981,1.247,1.483,1.736,2.388,2.748,7.415,7.415,0.608
40,15.600,1.615,0.824,1.307,1.477,1.860,2.426,2.592,2.936,2.936,0.619
45,13.000,1.660,0.778,1.192,1.403,2.031,2.860,3.131,3.859,3.859,0.602
50,13.600,1.861,0.982,1.377,1.634,2.114,2.999,3.164,4.596,4.596,0.537
55,14.200,1.726,1.030,1.328,1.530,1.827,2.396,3.287,6.104,6.104,0.579
