Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,81.200,8.072,2.289,4.574,6.433,9.199,11.283,14.428,31.972,161.969,0.124
5,113.800,5.548,1.632,3.278,4.343,6.732,9.810,11.344,16.585,76.017,0.180
10,157.600,3.870,1.408,2.803,3.551,4.405,5.621,6.673,10.418,13.278,0.258
15,127.600,4.950,2.084,3.190,4.119,5.561,8.113,9.655,14.743,72.310,0.202
20,128.400,4.900,1.686,3.258,4.151,5.415,8.936,10.543,13.153,21.246,0.204
25,110.000,5.792,2.014,3.490,4.522,6.276,11.022,13.473,20.066,32.500,0.173
30,114.400,5.404,1.727,3.678,4.674,5.994,9.054,11.196,16.090,19.633,0.185
35,127.400,4.903,1.933,3.393,4.274,5.547,8.099,9.648,12.568,22.260,0.204
40,155.600,4.205,2.019,2.911,3.631,4.486,6.372,8.870,12.981,62.481,0.238
45,122.400,5.374,1.978,3.377,4.388,6.586,8.950,10.396,15.883,57.883,0.186
50,165.400,3.980,1.913,2.870,3.612,4.342,5.500,7.100,12.495,22.781,0.251
55,133.800,4.794,1.450,2.909,3.875,5.149,8.925,10.734,16.382,45.104,0.209
