Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.400,19.756,10.040,11.855,13.775,24.996,35.114,35.631,44.704,44.704,0.051
5,8.000,14.928,8.909,9.846,11.085,17.185,31.789,39.330,42.934,42.934,0.067
10,10.000,15.053,8.681,9.935,11.686,19.321,25.084,30.042,38.895,38.895,0.066
15,7.200,16.101,8.623,10.609,17.034,21.192,22.505,24.665,28.774,28.774,0.062
20,12.400,13.403,8.889,9.757,10.939,12.183,16.036,33.205,52.703,52.703,0.075
25,12.800,13.177,8.610,9.222,9.789,18.249,20.679,23.006,44.978,44.978,0.076
30,9.800,11.490,5.923,6.368,8.359,15.746,17.229,18.456,50.618,50.618,0.087
35,13.400,8.977,5.594,5.852,6.166,14.768,16.321,17.361,20.330,20.330,0.111
40,12.000,10.349,5.041,5.349,9.691,15.330,15.939,16.200,16.386,16.386,0.097
45,19.800,6.608,4.932,5.238,5.457,6.310,12.157,14.199,14.858,14.858,0.151
50,13.800,7.773,4.829,5.475,5.815,7.504,14.565,16.454,22.739,22.739,0.129
55,13.600,7.986,5.544,5.999,6.595,8.228,15.969,16.653,17.109,17.109,0.125
