Iteration,Throughput (requests/second)
0,355.3232250852972
1,519.4398585911558
2,487.83652883170765
3,389.89990453560773
4,389.89990453560773
5,389.89990453560773
6,389.89990453560773
7,389.89990453560773
8,389.89990453560773
9,389.89990453560773
10,389.89990453560773
11,389.89990453560773
12,389.89990453560773
13,389.89990453560773
14,389.89990453560773
15,389.89990453560773
16,389.89990453560773
17,389.89990453560773
18,389.89990453560773
19,389.89990453560773
20,389.89990453560773
21,389.89990453560773
22,389.89990453560773
23,389.89990453560773
24,389.89990453560773
25,389.89990453560773
26,389.89990453560773
27,389.89990453560773
28,389.89990453560773
29,389.89990453560773
30,389.89990453560773
31,389.89990453560773
32,389.89990453560773
33,389.89990453560773
34,389.89990453560773
35,389.89990453560773
36,389.89990453560773
37,389.89990453560773
38,389.89990453560773
39,389.89990453560773
40,389.89990453560773
41,389.89990453560773
42,389.89990453560773
43,389.89990453560773
44,389.89990453560773
45,389.89990453560773
46,389.89990453560773
47,389.89990453560773
48,389.89990453560773
49,389.89990453560773
50,389.89990453560773
51,389.89990453560773
52,389.89990453560773
53,389.89990453560773
54,389.89990453560773
55,389.89990453560773
56,389.89990453560773
57,389.89990453560773
58,389.89990453560773
59,389.89990453560773
60,389.89990453560773
61,389.89990453560773
62,389.89990453560773
63,389.89990453560773
64,389.89990453560773
65,389.89990453560773
66,389.89990453560773
67,389.89990453560773
68,389.89990453560773
69,389.89990453560773
70,389.89990453560773
71,389.89990453560773
72,389.89990453560773
73,389.89990453560773
74,389.89990453560773
75,389.89990453560773
76,389.89990453560773
77,389.89990453560773
78,389.89990453560773
79,389.89990453560773
80,389.89990453560773
81,389.89990453560773
82,389.89990453560773
83,389.89990453560773
84,389.89990453560773
85,389.89990453560773
86,389.89990453560773
87,389.89990453560773
88,389.89990453560773
89,389.89990453560773
90,389.89990453560773
91,389.89990453560773
92,389.89990453560773
93,389.89990453560773
94,389.89990453560773
95,389.89990453560773
96,389.89990453560773
97,389.89990453560773
98,389.89990453560773
99,389.89990453560773
