Iteration,Throughput (requests/second)
0,985.0032562601118
1,963.5897911354888
2,843.8497438269077
3,936.8731332578299
4,933.4531594403442
5,780.9732214901583
6,835.8033250310203
7,909.9231439297979
8,741.5299625206039
9,688.8332449812852
10,977.2896847002866
11,911.7065282665767
12,569.0699038177017
13,487.1166120349149
14,1049.1964729185488
15,938.1764246984577
16,989.899939860279
17,478.6798533532358
18,553.1666062424345
19,453.77993339720655
