Iteration,Throughput (requests/second)
0,925.053248502867
1,585.1466581703372
2,470.7932499888043
3,654.7466538707345
4,452.13993138022977
5,714.5631315740512
6,444.76658934251253
7,246.95330763043307
8,210.3133145817982
9,210.3133145817982
