Iteration,Throughput (requests/second)
0,971.1632441805476
1,912.7265697077231
2,726.9997837248343
3,923.3331524862243
4,663.3564799163393
5,867.6130996041484
6,510.2066437975042
7,940.9163771811977
8,910.2064981297975
9,479.81984096531306
