Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,145.400,1.369,0.657,0.841,1.119,1.617,2.044,2.609,4.805,13.754,0.730
5,201.400,0.913,0.594,0.678,0.732,0.962,1.448,1.551,2.255,8.428,1.095
10,188.000,0.927,0.577,0.667,0.755,1.216,1.453,1.581,1.910,2.594,1.078
15,208.800,0.947,0.595,0.685,0.743,1.075,1.519,1.689,2.091,6.869,1.056
20,239.000,0.784,0.570,0.638,0.675,0.733,1.150,1.390,1.992,14.297,1.276
25,227.200,0.778,0.585,0.675,0.712,0.778,0.870,1.010,1.664,6.445,1.285
30,176.200,1.001,0.569,0.664,0.761,1.352,1.528,1.631,2.048,6.408,0.999
35,232.400,0.750,0.550,0.645,0.681,0.737,0.847,1.290,1.648,8.845,1.332
40,211.200,0.826,0.574,0.660,0.707,0.811,1.313,1.507,1.790,4.200,1.211
45,210.200,0.855,0.572,0.666,0.705,0.806,1.318,1.514,2.058,15.265,1.170
50,211.600,0.892,0.585,0.682,0.737,0.893,1.406,1.586,1.924,9.190,1.121
55,181.200,0.997,0.578,0.673,0.783,1.295,1.484,1.606,1.851,9.439,1.003
