Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1710601750.730385,18869,0,1
1,NewOrder,1710601750.749358,5149,0,1
1,NewOrder,1710601750.754528,8723,0,1
1,NewOrder,1710601750.763272,5697,0,1
1,NewOrder,1710601750.769011,6614,0,1
2,Payment,1710601750.775642,6084,0,1
1,NewOrder,1710601750.781746,10452,0,1
3,OrderStatus,1710601750.792215,3429,0,1
1,NewOrder,1710601750.795660,16683,0,1
1,NewOrder,1710601750.812366,7264,0,1
1,NewOrder,1710601750.819651,4109,0,1
1,NewOrder,1710601750.823782,5495,0,1
1,NewOrder,1710601750.829300,7015,0,1
2,Payment,1710601750.836337,2263,0,1
5,StockLevel,1710601750.838623,3104,0,1
1,NewOrder,1710601750.841748,5537,0,1
1,NewOrder,1710601750.847307,9400,0,1
2,Payment,1710601750.856731,2087,0,1
2,Payment,1710601750.858836,4405,0,1
2,Payment,1710601750.863262,2472,0,1
1,NewOrder,1710601750.865753,3548,0,1
2,Payment,1710601750.869323,12971,0,1
5,StockLevel,1710601750.882319,1876,0,1
2,Payment,1710601750.884212,2385,0,1
3,OrderStatus,1710601750.886616,4197,0,1
2,Payment,1710601750.890834,5832,0,1
2,Payment,1710601750.896690,1637,0,1
2,Payment,1710601750.898347,3007,0,1
1,NewOrder,1710601750.901377,7158,0,1
1,NewOrder,1710601750.908559,6774,0,1
2,Payment,1710601750.915358,1554,0,1
2,Payment,1710601750.916928,1756,0,1
4,Delivery,1710601750.918706,13743,0,1
1,NewOrder,1710601750.932470,4177,0,1
2,Payment,1710601750.936668,1911,0,1
2,Payment,1710601750.938600,1164,0,1
1,NewOrder,1710601750.939781,2270,0,1
3,OrderStatus,1710601750.942067,2014,0,1
2,Payment,1710601750.944098,2306,0,1
2,Payment,1710601750.946420,1148,0,1
2,Payment,1710601750.947583,1034,0,1
1,NewOrder,1710601750.948639,4134,0,1
1,NewOrder,1710601750.952788,3554,0,1
2,Payment,1710601750.956469,1204,0,1
2,Payment,1710601750.957688,1418,0,1
1,NewOrder,1710601750.959120,3770,0,1
2,Payment,1710601750.962907,2708,0,1
1,NewOrder,1710601750.965632,3483,0,1
2,Payment,1710601750.969134,1080,0,1
5,StockLevel,1710601750.970230,1639,0,1
1,NewOrder,1710601750.971888,4166,0,1
2,Payment,1710601750.976076,1151,0,1
3,OrderStatus,1710601750.977244,1591,0,1
1,NewOrder,1710601750.978852,6408,0,1
2,Payment,1710601750.985285,1260,0,1
2,Payment,1710601750.986564,1229,0,1
1,NewOrder,1710601750.987809,2595,0,1
2,Payment,1710601750.990425,1893,0,1
1,NewOrder,1710601750.992339,6735,0,1
2,Payment,1710601750.999098,1898,0,1
2,Payment,1710601751.001016,1641,0,1
1,NewOrder,1710601751.002676,3870,0,1
1,NewOrder,1710601751.006568,6209,0,1
1,NewOrder,1710601751.012801,3006,0,1
1,NewOrder,1710601751.016050,3657,0,1
