Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,407.800,2.441,0.339,0.919,1.751,3.108,4.843,6.579,12.708,28.189,0.410
5,450.600,2.210,0.308,0.760,1.631,2.778,4.912,6.078,11.767,16.269,0.452
10,465.800,2.140,0.303,0.726,1.652,2.757,4.777,5.870,8.424,14.410,0.467
15,540.200,1.843,0.263,0.694,1.502,2.512,3.240,5.408,6.699,24.930,0.543
20,492.400,2.024,0.261,0.695,1.544,2.601,4.209,5.700,10.390,24.040,0.494
25,493.600,2.019,0.302,0.714,1.521,2.669,4.246,5.689,8.731,18.259,0.495
30,531.600,1.877,0.252,0.699,1.498,2.485,3.276,5.623,7.528,18.582,0.533
35,530.000,1.881,0.266,0.686,1.496,2.522,3.431,5.497,6.966,18.646,0.532
40,547.200,1.823,0.252,0.699,1.507,2.518,3.149,5.406,6.220,22.382,0.549
45,527.600,1.889,0.269,0.679,1.496,2.512,3.333,5.540,7.506,15.638,0.529
50,429.800,2.321,0.266,0.763,1.670,2.874,5.090,6.236,11.896,27.659,0.431
55,525.600,1.896,0.257,0.702,1.506,2.564,3.378,5.444,7.492,14.661,0.527
