Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.000,16.355,6.565,9.497,16.425,20.274,26.165,27.902,30.329,30.329,0.061
5,15.000,8.644,5.983,6.694,7.400,8.637,15.409,16.870,19.636,19.636,0.116
10,15.200,8.534,5.996,6.721,7.400,8.419,14.489,16.643,20.171,20.171,0.117
15,18.000,7.951,5.789,6.529,7.138,8.162,12.926,13.888,15.697,15.697,0.126
20,18.400,8.108,5.783,6.275,6.896,7.627,14.261,16.803,25.822,25.822,0.123
25,13.200,8.288,5.419,6.367,6.971,7.713,14.155,14.914,17.598,17.598,0.121
30,12.600,9.269,5.763,6.337,6.951,8.010,15.137,16.296,63.930,63.930,0.108
35,14.000,8.965,5.596,6.359,7.046,9.054,15.602,18.605,23.677,23.677,0.112
40,18.600,7.822,5.685,6.346,6.897,7.859,12.902,14.104,17.858,17.858,0.128
45,15.800,8.639,5.630,6.709,7.493,9.691,12.932,14.914,19.580,19.580,0.116
50,16.000,8.534,5.658,6.457,6.871,7.909,16.251,18.325,22.662,22.662,0.117
55,16.200,7.581,5.377,6.489,7.040,7.493,8.806,13.959,16.690,16.690,0.132
