Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,131,131.000,1825,2825,5056,7610,10015,13748,19390,29944,65912
1,184,184.000,865,2290,3936,5403,7785,10843,12055,18547,51962
2,324,324.000,561,1243,2144,3051,4201,5985,7539,12699,21040
3,350,350.000,403,1109,2327,2842,3851,5169,6145,11071,50480
4,284,284.000,400,1596,2237,3512,4948,6990,9338,17207,18152
5,264,264.000,405,1326,2282,3753,4822,8038,9772,16876,48319
6,292,292.000,397,1266,2376,3423,4659,7289,8630,16026,23968
7,275,275.000,411,1508,2435,3612,5072,7939,10188,12308,17378
8,254,254.000,334,1293,2327,3902,5517,8701,10014,16500,47595
9,232,232.000,377,1743,2672,4290,6572,9080,11299,16449,16620
10,278,278.000,347,1099,2524,3596,4583,7223,9087,16202,69273
11,339,339.000,343,1032,2106,2917,3550,6200,8364,14578,20968
12,308,308.000,362,1116,2362,3233,4186,6721,8994,12093,24116
13,298,298.000,350,1104,2433,3354,4117,6342,9659,17097,47295
14,252,252.000,335,1211,2585,3924,5257,8690,10267,17192,56945
15,226,226.000,378,1584,3044,4395,6276,9583,12161,18115,19997
16,335,335.000,301,1018,2028,2991,3676,7194,8746,10839,24182
17,315,315.000,314,1289,2433,3143,4136,6883,7866,13701,15867
18,451,451.000,285,884,1850,2195,3258,3997,4928,7153,8236
19,363,363.000,294,930,2226,2765,3352,4927,6581,15484,64830
20,245,245.000,389,1579,2662,4017,5424,8011,10983,16266,52664
21,404,404.000,307,948,1937,2478,3581,4783,5692,8238,17380
22,213,213.000,525,1805,2873,4576,6968,9265,10706,16731,16991
23,361,361.000,344,915,1889,2758,3606,5423,6663,15448,53039
24,234,234.000,602,1660,2885,4251,6101,8792,10974,15321,17384
25,260,260.000,301,1551,2095,3834,5729,8212,9401,16665,47742
26,233,233.000,703,1739,2872,4285,6775,9160,10438,16137,17559
27,291,291.000,385,1173,2192,3434,4515,8326,9864,16771,17033
28,275,275.000,341,1437,2525,3621,4851,7622,9363,14257,47405
29,381,381.000,251,891,1818,2600,3243,5849,7684,13022,16911
30,279,279.000,289,1525,2219,3573,4564,7522,8665,16507,63210
31,316,316.000,302,1145,2028,3154,4285,7233,8992,14715,16336
32,239,239.000,690,1654,2468,4161,6412,8578,11616,15846,16497
33,216,216.000,601,1615,2580,4627,6494,9175,12782,15321,68181
34,262,262.000,301,1384,2521,3803,5600,8689,10025,15386,18665
35,277,277.000,350,1403,2495,3591,4962,8085,8967,15982,17246
36,360,360.000,278,877,1912,2781,3446,5563,7140,14803,64652
37,204,204.000,614,1799,2873,4895,7787,10329,11743,16622,19112
38,232,232.000,294,1694,2754,4282,5760,8494,10913,19857,49632
39,442,442.000,288,859,1807,2256,3030,4690,5773,7814,16559
40,370,370.000,248,882,1887,2679,3202,5590,7975,10658,50485
41,290,290.000,312,1206,2270,3436,5012,7768,9241,14585,17101
42,315,315.000,278,1200,2187,3161,4648,6778,8624,14018,16743
43,242,242.000,338,1490,2591,4150,5600,8131,12102,18195,50863
44,314,314.000,315,1127,2066,3162,4445,6786,8725,11987,13775
45,242,242.000,352,1203,2283,4095,5782,8543,11758,16476,56608
46,268,268.000,329,1643,2517,3718,5403,7548,9440,16736,21360
47,330,330.000,303,1036,2126,3077,3914,6771,8023,11082,23568
48,342,342.000,305,941,2160,2872,3673,5465,6760,14241,53691
49,359,359.000,311,935,2114,2781,3560,5980,7686,13123,15610
50,281,281.000,282,1526,2091,3526,5139,7608,8786,15278,16283
51,210,210.000,548,1650,2726,4735,6988,9427,10393,16900,58056
52,262,262.000,304,1156,2289,3808,5566,8209,10628,16793,19354
53,379,379.000,296,999,2171,2625,3789,5110,6441,8272,14010
54,267,267.000,260,1288,2253,3736,4979,8206,9823,17888,55633
55,207,207.000,575,1689,3145,4809,7294,10456,11394,14825,18117
56,267,267.000,259,1344,2386,3728,4920,7952,8905,17118,65863
57,354,354.000,280,955,1923,2846,3579,5875,8274,16186,23144
58,337,337.000,284,955,1892,2923,3460,5717,9247,15916,47265
59,299,299.000,282,1013,2056,3298,3678,7804,11371,17996,19173
