Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.000,9.648,5.906,6.486,7.481,13.123,15.167,17.018,22.126,22.126,0.104
5,22.400,6.594,5.298,5.641,5.777,6.171,9.992,12.828,14.000,14.300,0.152
10,19.200,6.846,5.139,5.498,5.672,6.087,9.724,13.695,24.227,24.227,0.146
15,24.600,6.570,5.134,5.546,5.728,6.097,10.312,12.710,14.979,16.127,0.152
20,20.000,7.244,5.228,5.582,5.958,8.809,11.534,11.978,14.635,14.635,0.138
25,20.800,7.111,5.414,5.727,5.959,6.554,12.591,14.008,15.711,16.191,0.141
30,19.200,7.992,5.305,5.765,6.185,11.105,13.361,15.553,16.376,16.376,0.125
35,21.800,7.085,5.215,5.534,5.846,6.657,12.479,14.138,15.982,19.651,0.141
40,23.800,6.199,5.188,5.603,5.763,6.088,7.007,9.543,12.211,17.192,0.161
45,17.200,7.627,5.424,5.823,6.177,7.143,12.578,14.301,27.294,27.294,0.131
50,19.400,6.726,5.308,5.788,6.211,7.039,8.421,10.135,13.626,13.626,0.149
55,20.200,6.261,5.044,5.358,5.524,5.661,10.806,11.570,12.888,13.218,0.160
