Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,83.600,2.618,0.774,1.137,2.095,3.103,4.837,6.261,10.972,44.323,0.382
5,154.800,1.149,0.724,0.876,1.007,1.264,1.683,1.916,2.519,9.763,0.870
10,136.600,1.231,0.694,0.872,1.014,1.493,1.975,2.181,2.840,6.449,0.812
15,175.000,1.080,0.686,0.822,0.909,1.103,1.784,2.079,2.488,11.243,0.926
20,163.000,1.116,0.684,0.810,0.905,1.125,1.844,2.159,2.703,10.738,0.896
25,185.200,1.073,0.670,0.819,0.920,1.125,1.715,1.962,2.388,6.466,0.932
30,189.000,1.003,0.653,0.799,0.875,1.031,1.583,1.874,2.246,3.101,0.997
35,165.400,1.022,0.643,0.776,0.857,1.063,1.632,1.874,2.355,13.216,0.978
40,201.400,0.963,0.634,0.778,0.861,1.014,1.247,1.487,2.125,12.262,1.038
45,144.600,1.245,0.634,0.797,0.976,1.631,2.003,2.198,2.909,17.248,0.803
50,184.200,0.939,0.624,0.757,0.838,0.981,1.290,1.601,1.948,6.776,1.065
55,181.200,1.013,0.623,0.759,0.862,1.096,1.653,1.854,2.397,3.092,0.987
