Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.200,0.988,0.319,0.449,0.550,1.010,1.756,2.512,7.759,7.759,1.012
5,22.800,0.548,0.307,0.357,0.389,0.451,0.702,0.832,3.065,8.068,1.826
10,19.800,0.450,0.271,0.334,0.363,0.430,0.641,0.692,3.883,3.883,2.223
15,23.000,0.379,0.273,0.318,0.338,0.369,0.593,0.688,0.788,0.797,2.642
20,22.800,0.450,0.251,0.321,0.348,0.427,0.779,0.814,0.929,3.045,2.220
25,19.800,0.444,0.285,0.318,0.340,0.383,0.687,0.773,4.497,4.497,2.251
30,19.600,0.370,0.251,0.309,0.326,0.351,0.593,0.726,0.896,0.896,2.702
35,19.400,0.465,0.263,0.318,0.357,0.629,0.710,0.767,2.639,2.639,2.150
40,25.000,0.429,0.253,0.299,0.322,0.347,0.415,0.459,2.573,8.018,2.332
45,18.000,0.400,0.251,0.309,0.330,0.378,0.693,0.758,0.908,0.908,2.499
50,14.400,0.506,0.282,0.327,0.392,0.615,0.863,1.006,2.565,2.565,1.975
55,18.600,0.465,0.291,0.319,0.346,0.407,0.675,0.788,5.680,5.680,2.153
