Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,429.400,2.314,0.330,0.856,1.806,3.038,4.335,6.145,10.008,25.604,0.432
5,480.600,2.070,0.305,0.738,1.663,2.744,4.122,5.826,7.388,15.297,0.483
10,373.800,2.666,0.301,0.862,1.771,3.293,6.002,7.282,13.249,20.369,0.375
15,400.800,2.485,0.302,0.780,1.792,2.994,5.727,7.063,12.715,20.776,0.402
20,330.800,3.013,0.286,1.112,1.892,4.101,6.604,7.615,13.736,39.185,0.332
25,362.400,2.751,0.277,0.899,1.825,3.389,6.022,7.175,13.782,31.976,0.364
30,383.200,2.599,0.307,0.896,1.800,3.202,5.824,7.184,12.095,34.721,0.385
35,393.200,2.535,0.276,0.869,1.709,3.334,5.562,6.401,11.741,31.559,0.394
40,435.200,2.292,0.247,0.764,1.631,2.950,5.100,5.898,11.247,13.704,0.436
45,358.800,2.779,0.275,0.914,1.834,3.470,6.325,7.355,13.281,34.697,0.360
50,435.000,2.291,0.265,0.812,1.661,2.928,4.991,6.100,11.472,34.807,0.437
55,388.800,2.563,0.254,0.789,1.729,3.234,5.685,6.771,12.296,13.727,0.390
