Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.400,7.937,5.394,5.779,6.175,7.638,14.142,16.166,24.446,24.446,0.126
5,18.000,6.941,5.293,5.583,5.763,6.688,12.505,13.203,15.082,15.082,0.144
10,23.200,6.410,5.202,5.488,5.660,6.048,8.313,12.477,14.432,14.954,0.156
15,20.000,6.502,5.205,5.386,5.578,6.028,11.332,12.172,14.530,14.530,0.154
20,21.600,7.285,5.101,5.417,5.614,6.186,12.990,13.695,16.235,26.009,0.137
25,20.800,6.637,5.094,5.453,5.635,5.911,11.704,12.762,13.827,14.659,0.151
30,19.000,6.705,5.176,5.469,5.600,5.880,10.606,13.137,23.818,23.818,0.149
35,18.000,6.886,5.176,5.467,5.627,5.998,11.807,12.066,15.446,15.446,0.145
40,25.400,5.841,5.069,5.360,5.537,5.795,6.221,6.692,12.040,13.281,0.171
45,22.400,6.986,5.170,5.414,5.580,6.195,12.200,13.359,15.056,17.496,0.143
50,15.000,8.446,5.157,5.493,5.883,12.077,14.104,15.872,17.112,17.112,0.118
55,20.800,7.012,5.053,5.417,5.579,6.377,12.234,13.011,13.237,13.557,0.143
