Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,90.600,6.971,1.990,4.466,6.099,8.620,11.092,12.448,21.534,70.672,0.143
5,111.200,5.930,1.309,3.791,4.866,6.736,9.963,13.215,18.675,56.739,0.169
10,133.400,5.009,2.020,3.341,4.229,5.243,8.287,10.141,14.988,57.099,0.200
15,136.000,4.826,1.981,3.371,4.243,5.379,7.346,9.642,12.628,58.654,0.207
20,147.000,4.333,1.393,3.049,3.916,4.800,5.915,7.802,12.309,70.877,0.231
25,165.800,3.962,1.781,2.913,3.546,4.387,5.436,6.672,11.224,54.209,0.252
30,168.800,3.935,1.381,2.878,3.532,4.190,5.198,6.731,12.108,51.620,0.254
35,175.400,3.679,1.801,2.781,3.419,4.110,4.898,5.510,8.981,54.800,0.272
40,169.600,3.952,1.322,2.832,3.611,4.543,5.749,6.616,9.057,54.652,0.253
45,152.400,4.282,1.857,2.924,3.716,4.661,6.894,8.087,11.756,54.940,0.234
50,178.400,3.885,1.444,2.762,3.408,4.225,5.412,7.305,10.784,59.409,0.257
55,175.000,3.801,1.812,2.764,3.416,4.176,5.328,6.935,11.475,18.622,0.263
