Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.200,0.956,0.339,0.409,0.579,1.081,1.959,2.442,7.864,7.864,1.046
5,18.800,0.710,0.301,0.371,0.411,0.477,0.889,2.791,8.619,8.619,1.408
10,17.800,0.675,0.274,0.350,0.400,0.612,0.835,1.946,8.209,8.209,1.482
15,23.000,0.412,0.259,0.330,0.358,0.435,0.681,0.711,0.799,0.929,2.425
20,27.800,0.381,0.263,0.313,0.330,0.362,0.628,0.779,0.946,0.986,2.621
25,21.400,0.399,0.273,0.313,0.331,0.384,0.647,0.801,0.934,1.061,2.504
30,21.800,0.359,0.263,0.305,0.325,0.361,0.460,0.654,0.792,0.798,2.784
35,18.400,0.521,0.269,0.332,0.354,0.424,0.607,0.720,11.439,11.439,1.919
40,20.200,0.404,0.296,0.328,0.348,0.390,0.623,0.759,1.109,1.162,2.472
45,24.400,0.353,0.250,0.314,0.338,0.369,0.428,0.474,0.537,0.785,2.833
50,22.800,0.387,0.254,0.321,0.345,0.395,0.520,0.625,0.852,1.371,2.583
55,24.800,0.379,0.261,0.311,0.331,0.365,0.461,0.623,0.825,2.626,2.638
