Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,265,265.000,1046,1755,2848,3762,4749,8091,8904,14681,20541
1,253,253.000,589,1709,2640,3931,5598,7715,8963,15845,27492
2,484,484.000,360,833,1677,2060,2776,3624,5824,7654,16201
3,548,548.000,361,767,1370,1812,2539,3154,4128,6222,19906
4,591,591.000,347,729,1106,1685,2377,3117,3564,6015,8858
5,383,383.000,338,974,1606,2601,3511,5599,6542,12102,12358
6,342,342.000,372,1191,1901,2914,4075,6090,6971,12820,15517
7,292,292.000,598,1366,1846,3416,4983,6092,11154,12199,18487
8,557,557.000,310,727,1363,1788,2501,3122,5428,6516,12242
9,570,570.000,308,715,1373,1747,2372,3111,5572,6084,8128
10,413,413.000,325,841,1643,2433,3104,5566,6237,12136,13399
11,340,340.000,344,1272,1666,2918,4450,5990,6902,11883,17903
12,411,411.000,335,723,1768,2415,3062,5476,6092,11575,12674
13,517,517.000,306,688,1592,1931,2520,3901,5461,6817,17513
14,378,378.000,377,1295,1776,2634,3586,5553,6293,12220,14866
15,460,460.000,308,732,1667,2158,2752,4764,5611,11296,14839
16,544,544.000,287,697,1531,1849,2484,3191,5327,6619,15535
17,297,297.000,526,1331,1812,3341,4698,7062,8870,13187,13804
18,617,617.000,312,648,1405,1610,2344,2914,3308,5726,5953
19,293,293.000,597,1341,1769,3403,5153,6357,7675,12781,13795
20,396,396.000,351,808,1831,2526,3260,5607,6384,11165,13743
21,512,512.000,294,694,1539,1940,2670,3624,5584,7915,13591
22,470,470.000,312,740,1538,2124,2681,4789,5910,10389,12927
23,643,643.000,262,653,810,1548,2298,2910,3261,5722,6079
24,638,638.000,281,658,960,1563,2259,2972,3372,5597,5775
25,400,400.000,294,1035,1744,2505,3401,5536,6342,12000,12402
26,395,395.000,302,838,1723,2518,2935,5721,6933,12878,14953
27,377,377.000,304,1197,1801,2646,3567,5792,6413,11688,15009
28,602,602.000,284,658,1246,1657,2263,2994,5379,5724,9913
29,368,368.000,304,1240,1516,2707,3692,5924,6510,12101,12900
30,558,558.000,282,690,1448,1789,2488,3126,5425,6577,13630
31,409,409.000,312,1212,1849,2442,3010,5245,6189,11931,12965
32,471,471.000,295,676,1618,2114,2603,4463,5865,11246,12309
33,590,590.000,261,670,1578,1688,2423,2972,3251,5749,7738
34,619,619.000,262,658,1123,1608,2228,2941,3367,5959,13176
35,349,349.000,316,1301,1915,2883,4609,6028,6516,12582,13449
36,289,289.000,551,1304,3241,3428,4941,6017,6733,12023,14209
37,307,307.000,362,1360,2455,3255,5034,6394,6944,12158,12713
38,504,504.000,274,684,1593,1975,2721,3915,5393,6869,13179
39,596,596.000,284,642,1220,1671,2282,3021,5299,6208,12890
40,542,542.000,292,672,1461,1848,2502,3335,5047,6513,13696
41,388,388.000,296,743,1735,2560,2951,5763,6959,13087,13527
42,549,549.000,302,647,1450,1818,2495,3190,5400,7166,12693
43,442,442.000,270,698,1698,2255,2889,5093,5730,11690,12817
44,462,462.000,245,672,1620,2158,2651,5246,6183,10993,13459
45,344,344.000,329,1282,1696,2908,4392,5644,6161,11614,12950
46,501,501.000,254,680,1501,1988,2612,4297,5516,7497,12736
47,384,384.000,291,1220,1735,2597,3552,5385,6496,11990,14051
48,455,455.000,291,718,1435,2192,2702,5231,5982,11089,13104
49,297,297.000,600,1304,2945,3364,5020,6035,6740,12347,12409
50,547,547.000,286,648,1386,1822,2475,3337,5339,6393,12367
51,613,613.000,280,670,1371,1623,2266,2907,3344,5833,6709
52,593,593.000,246,676,1464,1684,2416,3075,3870,6250,8038
53,463,463.000,296,705,1487,2178,2679,4796,5887,11917,17596
54,315,315.000,555,1250,1784,3126,4541,6349,9325,13506,15819
55,468,468.000,277,701,1627,2132,2594,5332,6308,7554,12762
56,341,341.000,459,1311,1647,2936,4320,5938,6698,11535,14349
57,318,318.000,556,1281,1519,3140,4692,5813,7271,11423,11620
58,506,506.000,294,693,1572,1964,2436,3719,5681,9109,13686
59,396,396.000,292,1165,1688,2512,3145,5566,6430,12533,15504
