Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.200,1.476,0.425,0.851,1.300,1.994,2.547,3.751,4.176,4.176,0.678
5,13.800,0.796,0.317,0.399,0.510,0.948,1.547,2.070,2.983,2.983,1.256
10,17.400,0.980,0.306,0.376,0.453,0.681,1.001,3.675,10.902,10.902,1.021
15,9.600,1.266,0.308,0.419,0.502,0.703,1.196,1.273,33.237,33.237,0.790
20,13.000,0.530,0.283,0.373,0.459,0.593,0.900,1.060,1.568,1.568,1.886
25,13.000,0.832,0.265,0.395,0.510,0.802,1.087,1.302,14.197,14.197,1.202
30,10.400,0.836,0.305,0.405,0.490,0.799,1.175,1.691,10.881,10.881,1.197
35,8.400,1.020,0.355,0.474,0.649,1.073,1.894,2.312,8.075,8.075,0.981
40,10.200,0.728,0.406,0.461,0.529,0.899,1.150,1.802,2.602,2.602,1.375
45,10.400,1.093,0.397,0.531,0.889,1.112,1.466,3.043,7.452,7.452,0.915
50,12.800,0.625,0.314,0.410,0.479,0.668,1.189,1.451,1.987,1.987,1.599
55,13.200,0.495,0.286,0.361,0.414,0.499,0.853,1.083,1.225,1.225,2.022
