Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.400,0.757,0.347,0.467,0.617,0.855,1.367,1.619,2.352,2.352,1.322
5,18.600,0.617,0.333,0.380,0.417,0.495,0.750,0.910,8.597,8.597,1.620
10,18.200,0.667,0.278,0.373,0.414,0.682,0.822,2.628,4.830,4.830,1.499
15,22.200,0.418,0.290,0.336,0.360,0.410,0.596,0.767,1.104,1.769,2.393
20,17.800,0.418,0.288,0.334,0.360,0.394,0.537,0.693,2.832,2.832,2.391
25,21.000,0.421,0.249,0.320,0.343,0.381,0.628,0.686,0.901,4.479,2.373
30,19.800,0.372,0.261,0.317,0.342,0.378,0.493,0.636,0.783,0.783,2.690
35,18.400,0.428,0.287,0.326,0.343,0.448,0.718,0.790,0.835,0.835,2.338
40,21.600,0.489,0.276,0.329,0.359,0.389,0.646,0.768,0.931,9.920,2.045
45,19.600,0.413,0.289,0.321,0.346,0.412,0.720,0.793,0.852,0.852,2.422
50,24.000,0.403,0.279,0.323,0.352,0.399,0.647,0.762,0.823,0.977,2.480
55,21.600,0.380,0.252,0.311,0.337,0.381,0.597,0.693,0.802,0.858,2.633
