Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,93.200,6.792,1.837,3.606,5.699,9.309,11.587,12.930,22.734,75.269,0.147
5,176.800,3.857,1.591,2.729,3.452,4.222,5.699,7.399,10.377,53.385,0.259
10,158.800,4.269,1.404,2.843,3.661,4.863,7.600,8.830,10.874,13.028,0.234
15,180.600,3.657,1.304,2.570,3.255,3.986,5.503,7.286,9.397,50.851,0.273
20,169.800,3.842,1.253,2.582,3.348,4.086,6.568,8.098,10.283,50.237,0.260
25,169.800,3.668,1.447,2.647,3.308,3.978,5.805,7.545,9.595,16.712,0.273
30,193.000,3.368,1.382,2.502,3.126,3.771,4.638,6.079,9.172,10.368,0.297
35,192.400,3.485,1.409,2.389,2.975,3.809,5.302,7.288,9.675,54.817,0.287
40,192.000,3.340,1.224,2.470,3.059,3.712,4.441,5.554,9.368,47.278,0.299
45,157.600,4.098,1.224,2.601,3.400,5.165,7.334,8.673,10.244,12.062,0.244
50,197.800,3.341,0.987,2.377,3.080,3.739,4.678,6.159,8.440,50.073,0.299
55,192.200,3.443,1.437,2.407,3.050,3.793,5.250,6.954,9.137,49.930,0.290
