Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.000,1.080,0.359,0.473,0.685,1.091,2.610,3.279,10.483,10.483,0.926
5,14.800,0.597,0.324,0.380,0.468,0.774,0.841,1.095,2.505,2.505,1.674
10,16.400,0.597,0.309,0.348,0.384,0.517,0.798,0.848,9.052,9.052,1.674
15,23.400,0.422,0.286,0.325,0.346,0.394,0.699,0.748,0.864,2.435,2.369
20,21.000,0.515,0.279,0.329,0.349,0.461,0.757,0.877,3.171,3.281,1.943
25,19.800,0.388,0.263,0.317,0.338,0.383,0.642,0.733,0.901,0.901,2.579
30,23.200,0.390,0.259,0.311,0.331,0.372,0.517,0.781,1.070,2.066,2.563
35,26.800,0.365,0.245,0.308,0.324,0.354,0.527,0.671,0.796,0.998,2.739
40,19.800,0.440,0.270,0.303,0.323,0.361,0.597,0.663,8.135,8.135,2.272
45,22.400,0.412,0.269,0.305,0.335,0.391,0.713,0.777,0.883,1.906,2.427
50,17.400,0.474,0.270,0.305,0.334,0.485,0.800,0.863,4.202,4.202,2.109
55,20.600,0.348,0.266,0.307,0.329,0.356,0.420,0.483,0.658,0.824,2.870
