Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.400,0.832,0.345,0.421,0.553,0.934,1.785,2.525,3.147,3.147,1.202
5,22.400,0.412,0.281,0.349,0.378,0.423,0.529,0.594,0.708,1.515,2.430
10,21.000,0.415,0.281,0.331,0.358,0.408,0.598,0.723,1.491,1.570,2.407
15,27.000,0.362,0.251,0.315,0.333,0.369,0.437,0.579,0.823,1.050,2.764
20,21.600,0.386,0.269,0.313,0.337,0.385,0.644,0.685,0.773,0.837,2.588
25,15.400,0.559,0.274,0.320,0.533,0.678,0.757,0.817,4.442,4.442,1.790
30,19.800,0.368,0.271,0.313,0.333,0.366,0.450,0.673,0.980,0.980,2.718
35,23.400,0.505,0.261,0.308,0.335,0.381,0.602,0.709,2.826,13.270,1.980
40,26.000,0.452,0.260,0.304,0.335,0.375,0.596,0.676,4.587,5.884,2.212
45,22.000,0.332,0.245,0.299,0.320,0.346,0.384,0.409,0.603,0.653,3.011
50,23.400,0.330,0.275,0.303,0.317,0.348,0.384,0.414,0.436,0.628,3.031
55,16.800,0.367,0.268,0.308,0.326,0.365,0.505,0.657,0.823,0.823,2.722
