Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.600,1.545,0.943,1.275,1.470,1.609,2.135,2.360,3.756,3.756,0.647
5,14.600,1.659,0.782,1.257,1.468,1.817,2.235,2.659,8.300,8.300,0.603
10,17.600,1.341,0.762,1.135,1.272,1.420,1.829,2.149,3.047,3.047,0.746
15,15.000,1.650,0.973,1.194,1.481,1.918,2.295,3.035,3.160,3.160,0.606
20,15.000,1.568,0.947,1.230,1.437,1.785,2.212,2.607,3.815,3.815,0.638
25,15.200,1.377,0.824,1.107,1.224,1.516,2.058,2.263,2.735,2.735,0.726
30,16.400,1.436,0.840,1.147,1.300,1.599,2.021,2.562,3.150,3.150,0.697
35,14.800,1.506,0.742,1.209,1.459,1.727,2.119,2.396,2.893,2.893,0.664
40,18.600,1.470,0.861,1.126,1.339,1.790,2.057,2.421,2.796,2.796,0.680
45,19.200,1.466,0.863,1.156,1.354,1.616,2.103,2.580,2.946,2.946,0.682
50,19.200,1.283,0.784,1.067,1.191,1.400,1.836,2.071,2.327,2.327,0.779
55,19.400,1.308,0.747,1.145,1.251,1.400,1.606,1.974,2.566,2.566,0.765
