Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8.400,1.933,0.999,1.356,1.745,2.250,2.752,3.102,5.075,5.075,0.517
5,12.000,1.876,0.994,1.458,1.830,2.040,2.659,3.293,4.696,4.696,0.533
10,13.000,1.718,1.018,1.242,1.543,1.969,2.772,2.930,3.557,3.557,0.582
15,12.600,1.757,0.731,1.155,1.478,2.082,2.966,3.496,4.471,4.471,0.569
20,14.800,1.590,0.914,1.288,1.463,1.805,2.259,2.535,2.739,2.739,0.629
25,14.400,1.753,0.696,1.252,1.610,1.935,2.841,3.379,4.116,4.116,0.570
30,11.400,1.673,0.797,1.313,1.585,1.818,2.378,2.814,3.685,3.685,0.598
35,13.600,1.800,0.956,1.277,1.686,2.163,2.749,2.999,3.513,3.513,0.556
40,13.400,1.666,0.931,1.318,1.534,1.983,2.547,2.789,2.852,2.852,0.600
45,13.200,1.780,0.954,1.302,1.578,1.997,2.340,3.379,5.097,5.097,0.562
50,12.000,1.950,1.183,1.472,1.826,2.220,2.703,3.741,4.648,4.648,0.513
55,12.000,1.881,1.088,1.468,1.658,2.138,2.817,3.389,4.203,4.203,0.532
